station_id,region_id,date,tmean_c,tmax_c,tmin_c,precip_mm,relative_humidity_pct,sunshine_h,shortwave_radiation_mj_m2,wind_speed_mean_ms,wind_speed_max_ms,et0_mm,requested_latitude,requested_longitude,grid_latitude,grid_longitude,elevation_m,timezone,source_provider,source_dataset,source_model,coordinate_basis,request_fingerprint_sha256,downloaded_at_utc
bannei,haikou,2021-08-01,29.0,30.8,27.8,8.1,82,7.946938888888889,15.11,4.45,7.67,3.65,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-02,27.3,27.8,26.8,41.9,88,2.2472916666666665,7.33,6.2,8.59,2.08,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-03,28.0,29.1,26.4,21.4,88,0.2828777777777778,9.37,6.45,8.58,2.53,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-04,29.0,30.4,28.2,3.7,85,1.8063388888888887,8.97,6.74,8.66,2.82,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-05,29.7,31.0,28.7,0.3,79,0.0,8.03,6.48,7.77,3.27,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-06,30.4,32.0,29.1,0.0,75,7.4041749999999995,15.96,5.95,7.34,4.73,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-07,30.2,32.0,29.0,0.0,77,3.7072583333333333,11.89,3.77,4.74,3.52,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-08,30.4,32.8,28.7,0.1,80,11.312172222222221,20.33,2.7,4.1,4.73,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-09,29.9,32.2,28.4,3.4,83,11.158824999999998,19.72,3.31,4.62,4.5,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-10,29.5,32.0,28.5,4.4,85,11.314266666666667,21.52,3.3,5.28,4.75,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
