resolution,source_variable,standardized_variable,returned_unit,standardized_unit,transform
daily,cloud_cover_mean,cloud_cover_mean_pct,%,%,identity
daily,dew_point_2m_max,dewpoint_max_c,°C,°C,identity
daily,dew_point_2m_mean,dewpoint_mean_c,°C,°C,identity
daily,dew_point_2m_min,dewpoint_min_c,°C,°C,identity
daily,et0_fao_evapotranspiration,et0_mm,mm,mm,identity
daily,precipitation_hours,precipitation_hours,h,h,identity
daily,precipitation_sum,precip_mm,mm,mm,identity
daily,rain_sum,rain_mm,mm,mm,identity
daily,relative_humidity_2m_max,relative_humidity_max_pct,%,%,identity
daily,relative_humidity_2m_mean,relative_humidity_mean_pct,%,%,identity
daily,relative_humidity_2m_min,relative_humidity_min_pct,%,%,identity
daily,shortwave_radiation_sum,shortwave_radiation_mj_m2,MJ/m²,MJ/m²,identity
daily,soil_moisture_0_to_100cm_mean,soil_moisture_0_100cm_mean_m3_m3,m³/m³,m³/m³,identity
daily,soil_moisture_0_to_7cm_mean,soil_moisture_0_7cm_mean_m3_m3,m³/m³,m³/m³,identity
daily,soil_moisture_28_to_100cm_mean,soil_moisture_28_100cm_mean_m3_m3,m³/m³,m³/m³,identity
daily,soil_moisture_7_to_28cm_mean,soil_moisture_7_28cm_mean_m3_m3,m³/m³,m³/m³,identity
daily,soil_temperature_0_to_100cm_mean,soil_temperature_0_100cm_mean_c,°C,°C,identity
daily,soil_temperature_0_to_7cm_mean,soil_temperature_0_7cm_mean_c,°C,°C,identity
daily,soil_temperature_28_to_100cm_mean,soil_temperature_28_100cm_mean_c,°C,°C,identity
daily,soil_temperature_7_to_28cm_mean,soil_temperature_7_28cm_mean_c,°C,°C,identity
daily,sunshine_duration,sunshine_h,s,h,seconds_to_hours
daily,temperature_2m_max,tmax_c,°C,°C,identity
daily,temperature_2m_mean,tmean_c,°C,°C,identity
daily,temperature_2m_min,tmin_c,°C,°C,identity
daily,vapour_pressure_deficit_max,vpd_max_kpa,kPa,kPa,identity
daily,wind_direction_10m_dominant,wind_direction_dominant_deg,°,°,identity
daily,wind_speed_10m_max,wind_speed_max_ms,m/s,m/s,identity
daily,wind_speed_10m_mean,wind_speed_mean_ms,m/s,m/s,identity
daily,wind_speed_10m_min,wind_speed_min_ms,m/s,m/s,identity
hourly,cloud_cover,cloud_cover_pct,%,%,identity
hourly,dew_point_2m,dewpoint_c,°C,°C,identity
hourly,et0_fao_evapotranspiration,et0_mm,mm,mm,identity
hourly,precipitation,precip_mm,mm,mm,identity
hourly,rain,rain_mm,mm,mm,identity
hourly,relative_humidity_2m,relative_humidity_pct,%,%,identity
hourly,shortwave_radiation,shortwave_radiation_w_m2,W/m²,W/m²,identity
hourly,soil_moisture_0_to_7cm,soil_moisture_0_7cm_m3_m3,m³/m³,m³/m³,identity
hourly,soil_moisture_28_to_100cm,soil_moisture_28_100cm_m3_m3,m³/m³,m³/m³,identity
hourly,soil_moisture_7_to_28cm,soil_moisture_7_28cm_m3_m3,m³/m³,m³/m³,identity
hourly,soil_temperature_0_to_7cm,soil_temperature_0_7cm_c,°C,°C,identity
hourly,soil_temperature_7_to_28cm,soil_temperature_7_28cm_c,°C,°C,identity
hourly,sunshine_duration,sunshine_h,s,h,seconds_to_hours
hourly,temperature_2m,temperature_c,°C,°C,identity
hourly,vapour_pressure_deficit,vpd_kpa,kPa,kPa,identity
hourly,wind_direction_10m,wind_direction_deg,°,°,identity
hourly,wind_speed_10m,wind_speed_ms,m/s,m/s,identity
