orchard_id,point_id,region_id,observed_station_id,cultivar,requested_latitude,requested_longitude,grid_latitude,grid_longitude,grid_distance_km,elevation_m,timezone,source_provider,source_dataset,source_model,date,tmean_c,tmax_c,tmin_c,dewpoint_mean_c,dewpoint_max_c,dewpoint_min_c,relative_humidity_mean_pct,relative_humidity_max_pct,relative_humidity_min_pct,precip_mm,rain_mm,precipitation_hours,sunshine_h,shortwave_radiation_mj_m2,cloud_cover_mean_pct,wind_speed_mean_ms,wind_speed_max_ms,wind_speed_min_ms,wind_direction_dominant_deg,et0_mm,vpd_max_kpa,soil_moisture_0_7cm_mean_m3_m3,soil_moisture_7_28cm_mean_m3_m3,soil_moisture_28_100cm_mean_m3_m3,soil_moisture_0_100cm_mean_m3_m3,soil_temperature_0_7cm_mean_c,soil_temperature_7_28cm_mean_c,soil_temperature_28_100cm_mean_c,soil_temperature_0_100cm_mean_c
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-01,29.0,30.8,27.8,25.5,26.9,24.9,82,87,73,8.1,8.1,9.0,7.946938888888889,15.11,98,4.45,7.67,2.69,237,3.65,1.2,0.145,0.14,0.101,0.112,29.5,29.5,29.5,29.5
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-02,27.3,27.8,26.8,25.1,25.4,24.7,88,91,85,41.9,41.9,21.0,2.2472916666666665,7.33,97,6.2,8.59,3.68,253,2.08,0.57,0.155,0.15,0.104,0.117,28.9,29.3,29.5,29.4
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-03,28.0,29.1,26.4,25.8,26.6,24.9,88,92,84,21.4,21.4,16.0,0.2828777777777778,9.37,100,6.45,8.58,4.85,273,2.53,0.62,0.158,0.158,0.112,0.125,29.0,29.0,29.4,29.3
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-04,29.0,30.4,28.2,26.2,27.1,25.2,85,88,82,3.7,3.7,10.0,1.8063388888888887,8.97,100,6.74,8.66,4.83,270,2.82,0.75,0.151,0.152,0.117,0.126,28.9,29.1,29.3,29.2
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-05,29.7,31.0,28.7,25.7,26.5,25.2,79,82,76,0.3,0.3,2.0,0.0,8.03,100,6.48,7.77,4.73,257,3.27,1.06,0.147,0.148,0.118,0.126,29.1,29.2,29.3,29.2
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-06,30.4,32.0,29.1,25.5,26.5,24.6,75,77,72,0.0,0.0,0.0,7.4041749999999995,15.96,100,5.95,7.34,3.55,254,4.73,1.33,0.141,0.143,0.118,0.125,29.5,29.3,29.3,29.3
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-07,30.2,32.0,29.0,25.7,26.6,24.8,77,82,72,0.0,0.0,0.0,3.7072583333333333,11.89,100,3.77,4.74,1.94,244,3.52,1.3,0.134,0.138,0.117,0.123,29.5,29.4,29.3,29.3
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-08,30.4,32.8,28.7,26.6,28.0,25.6,80,88,69,0.1,0.1,1.0,11.312172222222221,20.33,99,2.7,4.1,0.5,182,4.73,1.52,0.128,0.134,0.117,0.121,29.9,29.5,29.3,29.4
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-09,29.9,32.2,28.4,26.6,27.4,26.1,83,90,74,3.4,3.4,4.0,11.158824999999998,19.72,99,3.31,4.62,2.02,171,4.5,1.24,0.136,0.131,0.117,0.121,30.0,29.8,29.5,29.6
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-10,29.5,32.0,28.5,26.6,27.3,25.5,85,93,72,4.4,4.4,4.0,11.314266666666667,21.52,99,3.3,5.28,1.08,169,4.75,1.32,0.142,0.133,0.117,0.122,30.0,29.8,29.5,29.6
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-11,29.3,31.8,27.6,26.5,27.0,25.6,85,92,73,3.3,3.3,8.0,12.0,21.07,99,3.62,5.85,2.06,160,4.61,1.27,0.148,0.14,0.117,0.124,29.8,29.8,29.5,29.6
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-12,28.6,31.2,27.5,25.9,26.6,24.9,86,95,73,6.3,6.3,6.0,10.826077777777778,20.13,98,2.79,4.22,0.63,180,4.42,1.24,0.148,0.143,0.117,0.125,29.7,29.7,29.5,29.5
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-13,28.9,31.3,27.5,25.6,26.2,25.0,83,92,70,8.5,8.5,4.0,11.604811111111111,21.19,94,3.53,5.22,1.12,183,4.69,1.36,0.151,0.15,0.118,0.127,29.7,29.7,29.6,29.6
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-14,28.9,31.8,27.4,25.7,26.3,25.1,83,91,70,6.4,6.4,3.0,10.20621388888889,20.76,98,4.25,5.61,1.43,175,4.72,1.41,0.154,0.155,0.121,0.131,29.7,29.7,29.7,29.7
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-15,28.7,30.5,27.7,26.0,26.4,25.4,85,91,77,3.9,3.9,8.0,8.531833333333333,15.98,89,4.87,5.82,3.81,164,3.69,0.99,0.153,0.153,0.124,0.132,29.6,29.7,29.7,29.7
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-16,29.0,31.8,27.4,25.5,25.7,25.0,82,90,68,2.4,2.4,2.0,12.0,22.64,57,4.01,5.73,0.5,175,5.1,1.48,0.151,0.15,0.125,0.132,30.0,29.8,29.8,29.8
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-17,29.5,32.1,27.3,25.2,26.0,23.8,79,91,62,0.0,0.0,0.0,12.382458333333332,25.4,16,3.01,4.7,0.63,173,5.66,1.8,0.147,0.148,0.125,0.131,30.3,30.1,30.0,30.0
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-18,29.1,31.3,27.6,25.6,26.1,25.1,82,90,71,0.2,0.2,1.0,11.891422222222223,24.54,80,3.34,4.71,1.7,178,5.39,1.34,0.139,0.142,0.125,0.13,30.3,30.3,30.0,30.1
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-19,28.9,31.6,27.2,25.3,25.7,24.9,81,90,69,1.8,1.8,3.0,11.847033333333334,23.75,83,3.5,5.19,0.45,162,5.33,1.42,0.142,0.139,0.125,0.129,30.2,30.2,30.0,30.1
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-20,29.2,31.5,27.1,24.4,25.0,23.5,76,88,63,0.0,0.0,0.0,12.240222222222224,24.39,35,3.43,5.41,0.22,170,5.63,1.69,0.141,0.137,0.124,0.128,30.5,30.2,30.1,30.2
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-21,29.2,31.3,27.2,25.0,25.7,24.5,79,87,71,0.0,0.0,0.0,12.367725,24.49,66,3.57,5.8,0.41,182,5.6,1.33,0.132,0.133,0.124,0.126,30.6,30.4,30.3,30.3
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-22,29.4,32.2,27.4,24.6,25.2,23.5,76,87,61,0.0,0.0,0.0,11.967147222222223,24.88,58,4.02,6.58,0.3,171,5.94,1.89,0.125,0.129,0.123,0.124,30.6,30.4,30.3,30.3
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-23,29.6,32.7,27.5,24.7,25.5,23.6,76,85,60,0.0,0.0,0.0,12.274980555555556,25.35,56,5.13,7.34,1.02,163,6.17,1.99,0.117,0.125,0.122,0.122,30.4,30.4,30.2,30.2
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-24,29.5,31.7,27.7,25.1,26.0,23.9,78,86,64,0.0,0.0,0.0,12.193858333333333,24.03,89,4.41,5.94,0.92,156,5.69,1.69,0.111,0.121,0.121,0.12,30.4,30.3,30.0,30.1
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-25,29.0,30.9,27.5,25.1,25.6,24.5,80,88,69,0.4,0.4,1.0,11.757525,22.14,81,4.87,7.04,2.42,147,5.24,1.36,0.107,0.116,0.119,0.118,30.3,30.2,30.0,30.0
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-26,28.6,30.5,27.1,24.6,25.1,24.2,79,87,69,1.1,1.1,2.0,12.031563888888888,22.44,39,5.13,6.23,3.91,135,5.15,1.34,0.104,0.113,0.118,0.116,30.2,30.0,29.9,30.0
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-27,27.8,29.1,26.5,24.7,25.0,24.3,83,91,77,2.2,2.2,4.0,10.817547222222222,20.58,53,4.58,6.31,2.16,102,4.33,0.92,0.108,0.11,0.117,0.115,30.1,30.0,30.0,30.0
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-28,27.4,28.5,25.8,24.5,25.0,24.0,85,90,80,6.8,6.8,10.0,10.398119444444445,19.73,56,4.73,6.12,2.76,101,4.08,0.78,0.126,0.109,0.117,0.116,29.7,29.8,29.9,29.8
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-29,27.7,28.7,26.6,24.6,25.3,24.3,84,87,79,3.5,3.5,6.0,10.359772222222222,19.43,68,4.2,5.57,2.6,90,4.14,0.81,0.132,0.11,0.116,0.116,29.4,29.5,29.7,29.6
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-30,27.3,28.7,26.1,24.8,25.4,24.4,86,91,81,8.7,8.7,14.0,10.388263888888888,18.11,89,3.55,5.2,1.21,93,3.74,0.74,0.146,0.117,0.115,0.117,29.5,29.3,29.5,29.5
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-08-31,27.3,28.4,26.3,24.8,25.1,24.4,86,92,80,4.9,4.9,10.0,11.84363611111111,19.12,49,3.81,6.22,0.98,86,3.91,0.77,0.144,0.126,0.113,0.118,29.5,29.4,29.6,29.5
bannei,bannei_orchard_era5,haikou,haikou_region_proxy,妃子笑,19.899341667,110.499494444,20.0,110.5,11.192836149805931,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,2021-09-01,27.1,28.2,26.3,24.4,24.9,23.7,85,88,81,8.0,8.0,17.0,9.980716666666668,15.8,88,2.94,4.3,1.7,55,3.31,0.74,0.148,0.136,0.113,0.12,29.2,29.4,29.6,29.5
