source_file,table_index,row,column,text
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,1,"示范果园
（编号）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,2,面积（亩）
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,3,种植年份
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,4,改造年份
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,5,品种
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,6,株数
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,7,株距×行距（m）
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,8,农场主
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,1,9,经纬度
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,1,"办内果园
CARS-33-46-01"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,2,80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,3,2002年
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,4,每年回缩修剪
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,5,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,6,4000
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,7,4×5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,8,周永岛
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,2,9,"N 19° 53' 57.63""
E 110° 29' 58.18"""
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,1,"红明农场
CARS-33-46-02"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,2,70
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,3,2000年
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,4,"2010间伐
"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,5,白糖罂
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,6,970
