table,field,unit_or_definition,missing_representation
data/processed/phenology_event_long.csv,orchard_id,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,region_id,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,station_id,"internal regional source alias, not verified official station number",NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,cultivar,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,harvest_year,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,source_block_id,"immutable source block, not independent environmental sample",NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,event_name,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,event_date,YYYY-MM-DD; validated only,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,calendar_year,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,day_of_year,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,decoded_candidate_date,AUDIT ONLY; not analysis-ready,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,source_file,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,source_sheet,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,source_row,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,source_column,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,source_cell,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,harvest_year_source_cell,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,raw_value,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,cell_data_type,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,number_format,see source locator / report,NA; never replace missing measurement with 0
data/processed/phenology_event_long.csv,qc_flag,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,orchard_id,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,region_id,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,station_id,"internal regional source alias, not verified official station number",NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,cultivar,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,harvest_year,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,source_block_id,"immutable source block, not independent environmental sample",NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,plot_id,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,tree_id,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,tree_class,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,source_file,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,source_sheet,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,source_row,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,year_source_cell,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,year_protocol_conflict,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,tree_count,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,tree_count_source_cell,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,tree_count_raw,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,sample_tree_1_yield_kg,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,sample_tree_1_yield_kg_source_cell,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,sample_tree_1_yield_kg_raw,see source locator / report,NA; never replace missing measurement with 0
data/processed/yield_observation_long.csv,sample_tree_2_yield_kg,see source locator / report,NA; never replace missing measurement with 0
