source_file,source_sheet,column_mapping
气象数据原/海口市2021-2026气象数据.xlsx,2021年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""20-20降水(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""平均相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
气象数据原/海口市2021-2026气象数据.xlsx,2022,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""20-20降水(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""平均相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
气象数据原/海口市2021-2026气象数据.xlsx,2023,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""20-20降水(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时长(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""平均相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
气象数据原/海口市2021-2026气象数据.xlsx,2024,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""20-20降水(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""平均相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
气象数据原/海口市2021-2026气象数据.xlsx,2025,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""20-20降水(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
气象数据原/海口市2021-2026气象数据.xlsx,2026,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
气象数据原/陵水县2021-2026气象数据.xlsx,2021年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}, ""J1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}}"
气象数据原/陵水县2021-2026气象数据.xlsx,2022年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}, ""J1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}}"
气象数据原/陵水县2021-2026气象数据.xlsx,2023年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}, ""J1"": {""header"": ""日照时长(h)"", ""variable"": ""sunshine_h""}}"
气象数据原/陵水县2021-2026气象数据.xlsx,2024年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""平均相对湿度(%)"", ""variable"": ""relative_humidity_pct""}, ""J1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}}"
气象数据原/陵水县2021-2026气象数据.xlsx,2025年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}, ""J1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}}"
气象数据原/陵水县2021-2026气象数据.xlsx,2026年,"{""E1"": {""header"": ""最高气温(℃)"", ""variable"": ""tmax_c""}, ""F1"": {""header"": ""最低气温(℃)"", ""variable"": ""tmin_c""}, ""G1"": {""header"": ""平均气温(℃)"", ""variable"": ""tmean_c""}, ""H1"": {""header"": ""降水量(mm)"", ""variable"": ""precip_mm""}, ""I1"": {""header"": ""日照时数(h)"", ""variable"": ""sunshine_h""}, ""J1"": {""header"": ""相对湿度(%)"", ""variable"": ""relative_humidity_pct""}}"
