orchard_id,region_id,legacy_station_id,cultivar,source_file,source_sheet,season_id,harvest_year,source_block_id,source_row_start,source_row_end,year_source_cell,raw_final_yield_kg_per_mu,final_yield_kg_per_mu,mean_yield_per_tree_kg,mean_single_fruit_weight_g,fruit_number_proxy,observed_fruit_number,known_tree_count,weighted_mean_tree_coverage_ratio,class_mean_mismatch_count,normal_production_year,typhoon_damage,typhoon_event_date,structural_damage_stage,abandon_production_decision_date,phenology_main_eligible,phenology_sensitivity_eligible,yield_main_eligible,year_protocol_conflict,damage_review_reason,exclusion_reason,yield_value_origin,blocks_in_same_season,block_review_status,n_source_blocks,weather_coverage_ratio,weather_coverage_window,autumn_flush_mature,color_break,end_bloom,fruit_drop_1,fruit_drop_2,full_bloom,inflorescence_emergence,initial_bloom,initial_fruit_set,maturity,preharvest_drop,white_tip,weather_point_id,weather_role
bannei,haikou,haikou_region_proxy,妃子笑,测产.xlsx,Sheet1,bannei_2022,2022,yield_Sheet1_r03,3,5,A3,990,990,31.008,24.955,1242.556602,NA,200,1,0,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2021-09-25,2022-04-28,2022-03-15,2022-03-10,2022-04-03,2022-03-10,2022-01-20,2022-03-01,2022-03-15,2022-05-20,NA,2021-12-25,bannei_orchard_era5,orchard_specific_era5_main
bannei,haikou,haikou_region_proxy,妃子笑,测产.xlsx,Sheet1,bannei_2023,2023,yield_Sheet1_r12,12,14,A12,1590,1590,48.683,24.955,1950.831497,NA,200,1,2,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2022-09-25,2023-05-01,2023-03-15,2023-03-10,2023-04-03,2023-03-10,2023-01-20,2023-03-01,2023-03-15,2023-05-22,NA,2023-01-03,bannei_orchard_era5,orchard_specific_era5_main
bannei,haikou,haikou_region_proxy,妃子笑,测产.xlsx,Sheet1,bannei_2024,2024,yield_Sheet1_r21,21,23,A21,718.74,718.74,21.776,22.527,966.6622275,NA,200,1,0,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4489051095,previous_Oct01_to_harvest_Jun30_inclusive,2023-09-25,2024-04-28,2024-03-23,2024-03-22,2024-04-03,2024-03-17,2024-02-01,2024-02-28,2024-03-20,2024-05-13,NA,2024-01-15,bannei_orchard_era5,orchard_specific_era5_main
bannei,haikou,haikou_region_proxy,妃子笑,测产.xlsx,Sheet1,bannei_2025,2025,yield_Sheet1_r30,30,32,A30,NA,0,NA,NA,NA,NA,0,NA,0,0,1,NA,vegetative_recovery_and_floral_induction_affected_exact_event_date_unknown,2025-03-01,0,1,0,0,NA,bannei_2025_structural_disaster_excluded,protocol_confirmed_zero,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2024-09-25,NA,NA,NA,NA,NA,2025-02-01,2025-02-28,NA,NA,NA,2025-01-12,bannei_orchard_era5,orchard_specific_era5_main
bannei,haikou,haikou_region_proxy,妃子笑,测产.xlsx,Sheet1,bannei_2026,2026,yield_Sheet1_r39,39,41,A39,1306.23,1306.23,39.191,22.067,1776.000363,NA,200,1,0,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2025-09-25,2026-04-22,2026-03-01,2026-03-18,2026-04-15,2026-02-24,2026-01-10,2026-02-12,2026-03-05,2026-05-02,NA,2025-12-25,bannei_orchard_era5,orchard_specific_era5_main
hongming,haikou,haikou_region_proxy,白糖罂,测产.xlsx,Sheet1,hongming_2022,2022,yield_Sheet1_r06,6,8,A3,1804.4,1804.4,131.40065,20.4965,6410.882346,NA,200,1,0,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2021-09-10,2022-04-25,2022-03-08,2022-03-08,2022-04-07,2022-03-02,2022-01-05,2022-02-02,2022-03-05,2022-05-10,NA,2021-12-28,hongming_orchard_era5,orchard_specific_era5_main
hongming,haikou,haikou_region_proxy,白糖罂,测产.xlsx,Sheet1,hongming_2023,2023,yield_Sheet1_r15,15,17,A12,753.6,753.6,54.02315,20.4965,2635.725612,NA,200,1,2,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2022-09-20,2023-05-05,2023-03-20,2023-03-18,2023-04-10,2023-03-10,2023-01-15,2023-02-28,2023-03-15,2023-05-18,NA,2023-01-05,hongming_orchard_era5,orchard_specific_era5_main
hongming,haikou,haikou_region_proxy,白糖罂,测产.xlsx,Sheet1,hongming_2024,2024,yield_Sheet1_r24,24,26,A21,107.14,107.14,7.708,23.707,325.1360358,NA,200,1,0,1,0,NA,NA,NA,1,0,1,0,NA,NA,source_reported_K,1,single_block_as_labeled,1,0.4489051095,previous_Oct01_to_harvest_Jun30_inclusive,2023-09-20,2024-05-01,2024-03-20,2024-03-18,2024-04-10,2024-03-10,2024-01-25,2024-03-01,2024-03-15,2024-05-12,NA,2024-01-10,hongming_orchard_era5,orchard_specific_era5_main
hongming,haikou,haikou_region_proxy,白糖罂,测产.xlsx,Sheet1,hongming_2025,2025,yield_Sheet1_r33,33,35,A30,450.14,450.14,31.672,23.015,1376.145992,NA,200,1,0,NA,NA,NA,NA,NA,0,0,0,0,2025年度资料记载树枝折断、新梢不整齐；正常产年资格待确认,damage_normal_status_requires_review,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,2024-09-20,2025-05-01,2025-03-20,2025-03-18,2025-04-10,2025-03-10,2025-01-25,2025-03-01,2025-03-15,2025-05-25,NA,2025-01-20,hongming_orchard_era5,orchard_specific_era5_main
hongming,haikou,haikou_region_proxy,白糖罂,测产.xlsx,Sheet1,hongming_2026,2026,yield_Sheet1_r42,42,44,A39,750.25,750.25,NA,NA,NA,NA,200,0.9,0,NA,NA,NA,NA,NA,0,0,0,0,2026年度资料记载树冠仍在恢复；正常产年资格待确认,damage_normal_status_requires_review,source_reported_K,1,single_block_as_labeled,1,0.4505494505,previous_Oct01_to_harvest_Jun30_inclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hongming_orchard_era5,orchard_specific_era5_main
