season_id,orchard_id,harvest_year,source_block_id,task,start_event,end_event,start_source_cell,end_source_cell,observed_start_date,observed_end_date,candidate_start_date,candidate_end_date,candidate_duration_days_AUDIT_ONLY,observed_duration_days,raw_endpoint_pair_present,complete_date_pair,main_complete_date_pair,weather_coverage_ratio,tmean_coverage_ratio,model_eligible,qc_flag
bannei_2022,bannei,2022,pheno_Sheet1_r02,P1,autumn_flush_mature,inflorescence_emergence,E2,G2,NA,NA,2026-09-25,2026-01-20,-248,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
bannei_2022,bannei,2022,pheno_Sheet1_r02,P2,inflorescence_emergence,full_bloom,G2,I2,NA,NA,2026-01-20,2026-03-10,49,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
bannei_2022,bannei,2022,pheno_Sheet1_r02,P3,full_bloom,maturity,I2,P2,NA,NA,2026-03-10,2026-05-20,71,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
bannei_2023,bannei,2023,pheno_Sheet1_r05,P1,autumn_flush_mature,inflorescence_emergence,E5,G5,NA,NA,2026-09-25,2026-01-20,-248,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
bannei_2023,bannei,2023,pheno_Sheet1_r05,P2,inflorescence_emergence,full_bloom,G5,I5,NA,NA,2026-01-20,2026-03-10,49,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
bannei_2023,bannei,2023,pheno_Sheet1_r05,P3,full_bloom,maturity,I5,P5,NA,NA,2026-03-10,2026-05-22,73,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
bannei_2024,bannei,2024,pheno_Sheet1_r08,P1,autumn_flush_mature,inflorescence_emergence,E8,G8,NA,NA,2026-09-25,2026-02-01,-236,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
bannei_2024,bannei,2024,pheno_Sheet1_r08,P2,inflorescence_emergence,full_bloom,G8,I8,NA,NA,2026-02-01,2026-03-17,44,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
bannei_2024,bannei,2024,pheno_Sheet1_r08,P3,full_bloom,maturity,I8,P8,NA,NA,2026-03-17,2026-05-13,57,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
bannei_2025,bannei,2025,pheno_Sheet1_r11,P1,autumn_flush_mature,inflorescence_emergence,E11,G11,NA,NA,2026-09-25,2026-02-01,-236,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict;typhoon_main_excluded
bannei_2025,bannei,2025,pheno_Sheet1_r11,P2,inflorescence_emergence,full_bloom,G11,I11,NA,NA,2026-02-01,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;typhoon_main_excluded
bannei_2025,bannei,2025,pheno_Sheet1_r11,P3,full_bloom,maturity,I11,P11,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;typhoon_main_excluded
bannei_2026,bannei,2026,pheno_Sheet1_r14,P1,autumn_flush_mature,inflorescence_emergence,E14,G14,NA,NA,2026-09-25,2026-01-10,-258,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start
bannei_2026,bannei,2026,pheno_Sheet1_r14,P2,inflorescence_emergence,full_bloom,G14,I14,NA,NA,2026-01-10,2026-02-24,45,NA,1,0,0,NA,NA,0,complete_dates_not_validated
bannei_2026,bannei,2026,pheno_Sheet1_r14,P3,full_bloom,maturity,I14,P14,NA,NA,2026-02-24,2026-05-02,67,NA,1,0,0,NA,NA,0,complete_dates_not_validated
hongming_2022,hongming,2022,pheno_Sheet1_r03,P1,autumn_flush_mature,inflorescence_emergence,E3,G3,NA,NA,2026-09-10,2026-01-05,-248,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
hongming_2022,hongming,2022,pheno_Sheet1_r03,P2,inflorescence_emergence,full_bloom,G3,I3,NA,NA,2026-01-05,2026-03-02,56,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
hongming_2022,hongming,2022,pheno_Sheet1_r03,P3,full_bloom,maturity,I3,P3,NA,NA,2026-03-02,2026-05-10,69,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
hongming_2023,hongming,2023,pheno_Sheet1_r06,P1,autumn_flush_mature,inflorescence_emergence,E6,G6,NA,NA,2026-09-20,2026-01-15,-248,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
hongming_2023,hongming,2023,pheno_Sheet1_r06,P2,inflorescence_emergence,full_bloom,G6,I6,NA,NA,2026-01-15,2026-03-10,54,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
hongming_2023,hongming,2023,pheno_Sheet1_r06,P3,full_bloom,maturity,I6,P6,NA,NA,2026-03-10,2026-05-18,69,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
hongming_2024,hongming,2024,pheno_Sheet1_r09,P1,autumn_flush_mature,inflorescence_emergence,E9,G9,NA,NA,2026-09-20,2026-01-25,-238,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
hongming_2024,hongming,2024,pheno_Sheet1_r09,P2,inflorescence_emergence,full_bloom,G9,I9,NA,NA,2026-01-25,2026-03-10,44,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
hongming_2024,hongming,2024,pheno_Sheet1_r09,P3,full_bloom,maturity,I9,P9,NA,NA,2026-03-10,2026-05-12,63,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
hongming_2025,hongming,2025,pheno_Sheet1_r12,P1,autumn_flush_mature,inflorescence_emergence,E12,G12,NA,NA,2026-09-20,2026-01-25,-238,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict;other_damage_review
hongming_2025,hongming,2025,pheno_Sheet1_r12,P2,inflorescence_emergence,full_bloom,G12,I12,NA,NA,2026-01-25,2026-03-10,44,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict;other_damage_review
hongming_2025,hongming,2025,pheno_Sheet1_r12,P3,full_bloom,maturity,I12,P12,NA,NA,2026-03-10,2026-05-25,76,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict;other_damage_review
hongming_2026,hongming,2026,pheno_Sheet1_r15,P1,autumn_flush_mature,inflorescence_emergence,E15,G15,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;other_damage_review
hongming_2026,hongming,2026,pheno_Sheet1_r15,P2,inflorescence_emergence,full_bloom,G15,I15,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;other_damage_review
hongming_2026,hongming,2026,pheno_Sheet1_r15,P3,full_bloom,maturity,I15,P15,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;other_damage_review
luhong_2022,luhong,2022,pheno_Sheet1_r04,P1,autumn_flush_mature,inflorescence_emergence,E4,G4,NA,NA,2026-08-28,2026-01-03,-237,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
luhong_2022,luhong,2022,pheno_Sheet1_r04,P2,inflorescence_emergence,full_bloom,G4,I4,NA,NA,2026-01-03,2026-02-15,43,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2022,luhong,2022,pheno_Sheet1_r04,P3,full_bloom,maturity,I4,P4,NA,NA,2026-02-15,2026-04-25,69,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
