season_id,orchard_id,harvest_year,station_id,window_name,start_event,end_event,window_start,window_end,boundaries_valid,expected_days,observed_days,date_coverage_ratio,feature_status,tmean_c_coverage_ratio,tmean_c_mean,tmin_c_coverage_ratio,tmin_c_mean,tmax_c_coverage_ratio,tmax_c_mean,precip_mm_coverage_ratio,precip_mm_mean,relative_humidity_pct_coverage_ratio,relative_humidity_pct_mean,sunshine_h_coverage_ratio,sunshine_h_mean,wind_speed_coverage_ratio,wind_speed_mean,precip_mm_sum
bannei_2022,bannei,2022,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2021-09-25,2022-01-20,1,118,112,0.9491525424,blocked_missing_weather,0.9491525424,NA,0.9491525424,NA,0.9491525424,NA,0.9491525424,NA,0.9491525424,NA,0.7796610169,NA,0,NA,NA
bannei_2022,bannei,2022,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2022-01-20,2022-03-10,1,50,12,0.24,blocked_missing_weather,0.24,NA,0.24,NA,0.24,NA,0.24,NA,0.24,NA,0,NA,0,NA,NA
bannei_2022,bannei,2022,haikou_region_proxy,flowering,full_bloom,end_bloom,2022-03-10,2022-03-15,1,6,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2022,bannei,2022,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2022-03-15,2022-04-03,1,20,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2022,bannei,2022,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2022-04-03,2022-05-20,1,48,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2023,bannei,2023,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2022-09-25,2023-01-20,1,118,112,0.9491525424,blocked_missing_weather,0.9491525424,NA,0.9491525424,NA,0.9491525424,NA,0.9491525424,NA,0.9491525424,NA,0.7796610169,NA,0,NA,NA
bannei_2023,bannei,2023,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2023-01-20,2023-03-10,1,50,12,0.24,blocked_missing_weather,0.24,NA,0.24,NA,0.24,NA,0.24,NA,0.24,NA,0,NA,0,NA,NA
bannei_2023,bannei,2023,haikou_region_proxy,flowering,full_bloom,end_bloom,2023-03-10,2023-03-15,1,6,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2023,bannei,2023,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2023-03-15,2023-04-03,1,20,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2023,bannei,2023,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2023-04-03,2023-05-22,1,50,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2024,bannei,2024,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2023-09-25,2024-02-01,1,130,123,0.9461538462,blocked_missing_weather,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0,NA,NA
bannei_2024,bannei,2024,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2024-02-01,2024-03-17,1,46,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2024,bannei,2024,haikou_region_proxy,flowering,full_bloom,end_bloom,2024-03-17,2024-03-23,1,7,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2024,bannei,2024,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2024-03-23,2024-04-03,1,12,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2024,bannei,2024,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2024-04-03,2024-05-13,1,41,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2025,bannei,2025,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2024-09-25,2025-02-01,1,130,123,0.9461538462,blocked_missing_weather,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0.9461538462,NA,0.9384615385,NA,0,NA,NA
bannei_2025,bannei,2025,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2025-02-01,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bannei_2025,bannei,2025,haikou_region_proxy,flowering,full_bloom,end_bloom,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bannei_2025,bannei,2025,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bannei_2025,bannei,2025,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bannei_2026,bannei,2026,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2025-09-25,2026-01-10,1,108,102,0.9444444444,blocked_missing_weather,0.9444444444,NA,0.9444444444,NA,0.9444444444,NA,0.9444444444,NA,0.9444444444,NA,0.9444444444,NA,0,NA,NA
bannei_2026,bannei,2026,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2026-01-10,2026-02-24,1,46,22,0.4782608696,blocked_missing_weather,0.4782608696,NA,0.4782608696,NA,0.4782608696,NA,0.4782608696,NA,0.4782608696,NA,0.4782608696,NA,0,NA,NA
bannei_2026,bannei,2026,haikou_region_proxy,flowering,full_bloom,end_bloom,2026-02-24,2026-03-01,1,6,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2026,bannei,2026,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2026-03-01,2026-04-15,1,46,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
bannei_2026,bannei,2026,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2026-04-15,2026-05-02,1,18,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2022,hongming,2022,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2021-09-10,2022-01-05,1,118,97,0.8220338983,blocked_missing_weather,0.8220338983,NA,0.8220338983,NA,0.8220338983,NA,0.8220338983,NA,0.8220338983,NA,0.7796610169,NA,0,NA,NA
hongming_2022,hongming,2022,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2022-01-05,2022-03-02,1,57,27,0.4736842105,blocked_missing_weather,0.4736842105,NA,0.4736842105,NA,0.4736842105,NA,0.4736842105,NA,0.4736842105,NA,0,NA,0,NA,NA
hongming_2022,hongming,2022,haikou_region_proxy,flowering,full_bloom,end_bloom,2022-03-02,2022-03-08,1,7,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2022,hongming,2022,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2022-03-08,2022-04-07,1,31,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2022,hongming,2022,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2022-04-07,2022-05-10,1,34,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2023,hongming,2023,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2022-09-20,2023-01-15,1,118,107,0.906779661,blocked_missing_weather,0.906779661,NA,0.906779661,NA,0.906779661,NA,0.906779661,NA,0.906779661,NA,0.7796610169,NA,0,NA,NA
hongming_2023,hongming,2023,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2023-01-15,2023-03-10,1,55,17,0.3090909091,blocked_missing_weather,0.3090909091,NA,0.3090909091,NA,0.3090909091,NA,0.3090909091,NA,0.3090909091,NA,0,NA,0,NA,NA
hongming_2023,hongming,2023,haikou_region_proxy,flowering,full_bloom,end_bloom,2023-03-10,2023-03-20,1,11,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2023,hongming,2023,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2023-03-20,2023-04-10,1,22,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2023,hongming,2023,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2023-04-10,2023-05-18,1,39,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2024,hongming,2024,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2023-09-20,2024-01-25,1,128,117,0.9140625,blocked_missing_weather,0.9140625,NA,0.9140625,NA,0.9140625,NA,0.9140625,NA,0.9140625,NA,0.9140625,NA,0,NA,NA
