harvest_year,station_id,variable,calendar_month,valid_days,expected_days,coverage_ratio
2022,haikou_region_proxy,tmean_c,2021-08,0,31,0
2022,haikou_region_proxy,tmean_c,2021-09,0,30,0
2022,haikou_region_proxy,tmean_c,2021-10,31,31,1
2022,haikou_region_proxy,tmean_c,2021-11,30,30,1
2022,haikou_region_proxy,tmean_c,2021-12,31,31,1
2022,haikou_region_proxy,tmean_c,2022-01,31,31,1
2022,haikou_region_proxy,tmean_c,2022-02,0,28,0
2022,haikou_region_proxy,tmean_c,2022-03,0,31,0
2022,haikou_region_proxy,tmean_c,2022-04,0,30,0
2022,haikou_region_proxy,tmean_c,2022-05,0,31,0
2022,haikou_region_proxy,tmean_c,2022-06,0,30,0
2022,haikou_region_proxy,precip_mm,2021-08,0,31,0
2022,haikou_region_proxy,precip_mm,2021-09,0,30,0
2022,haikou_region_proxy,precip_mm,2021-10,31,31,1
2022,haikou_region_proxy,precip_mm,2021-11,30,30,1
2022,haikou_region_proxy,precip_mm,2021-12,31,31,1
2022,haikou_region_proxy,precip_mm,2022-01,31,31,1
2022,haikou_region_proxy,precip_mm,2022-02,0,28,0
2022,haikou_region_proxy,precip_mm,2022-03,0,31,0
2022,haikou_region_proxy,precip_mm,2022-04,0,30,0
2022,haikou_region_proxy,precip_mm,2022-05,0,31,0
2022,haikou_region_proxy,precip_mm,2022-06,0,30,0
2022,lingshui_region_proxy,tmean_c,2021-08,0,31,0
2022,lingshui_region_proxy,tmean_c,2021-09,0,30,0
2022,lingshui_region_proxy,tmean_c,2021-10,31,31,1
2022,lingshui_region_proxy,tmean_c,2021-11,30,30,1
2022,lingshui_region_proxy,tmean_c,2021-12,31,31,1
2022,lingshui_region_proxy,tmean_c,2022-01,31,31,1
2022,lingshui_region_proxy,tmean_c,2022-02,0,28,0
2022,lingshui_region_proxy,tmean_c,2022-03,0,31,0
2022,lingshui_region_proxy,tmean_c,2022-04,0,30,0
2022,lingshui_region_proxy,tmean_c,2022-05,0,31,0
2022,lingshui_region_proxy,tmean_c,2022-06,0,30,0
2022,lingshui_region_proxy,precip_mm,2021-08,0,31,0
2022,lingshui_region_proxy,precip_mm,2021-09,0,30,0
2022,lingshui_region_proxy,precip_mm,2021-10,31,31,1
2022,lingshui_region_proxy,precip_mm,2021-11,30,30,1
2022,lingshui_region_proxy,precip_mm,2021-12,29,31,0.935483871
2022,lingshui_region_proxy,precip_mm,2022-01,31,31,1
2022,lingshui_region_proxy,precip_mm,2022-02,0,28,0
2022,lingshui_region_proxy,precip_mm,2022-03,0,31,0
2022,lingshui_region_proxy,precip_mm,2022-04,0,30,0
2022,lingshui_region_proxy,precip_mm,2022-05,0,31,0
2022,lingshui_region_proxy,precip_mm,2022-06,0,30,0
2023,haikou_region_proxy,tmean_c,2022-08,0,31,0
2023,haikou_region_proxy,tmean_c,2022-09,0,30,0
2023,haikou_region_proxy,tmean_c,2022-10,31,31,1
2023,haikou_region_proxy,tmean_c,2022-11,30,30,1
