orchard_id,harvest_year,date,variable,value
bannei,2022,2021-08-01,tmean_c,NA
bannei,2022,2021-08-02,tmean_c,NA
bannei,2022,2021-08-03,tmean_c,NA
bannei,2022,2021-08-04,tmean_c,NA
bannei,2022,2021-08-05,tmean_c,NA
bannei,2022,2021-08-06,tmean_c,NA
bannei,2022,2021-08-07,tmean_c,NA
bannei,2022,2021-08-08,tmean_c,NA
bannei,2022,2021-08-09,tmean_c,NA
bannei,2022,2021-08-10,tmean_c,NA
bannei,2022,2021-08-11,tmean_c,NA
bannei,2022,2021-08-12,tmean_c,NA
bannei,2022,2021-08-13,tmean_c,NA
bannei,2022,2021-08-14,tmean_c,NA
bannei,2022,2021-08-15,tmean_c,NA
bannei,2022,2021-08-16,tmean_c,NA
bannei,2022,2021-08-17,tmean_c,NA
bannei,2022,2021-08-18,tmean_c,NA
bannei,2022,2021-08-19,tmean_c,NA
bannei,2022,2021-08-20,tmean_c,NA
bannei,2022,2021-08-21,tmean_c,NA
bannei,2022,2021-08-22,tmean_c,NA
bannei,2022,2021-08-23,tmean_c,NA
bannei,2022,2021-08-24,tmean_c,NA
bannei,2022,2021-08-25,tmean_c,NA
bannei,2022,2021-08-26,tmean_c,NA
bannei,2022,2021-08-27,tmean_c,NA
bannei,2022,2021-08-28,tmean_c,NA
bannei,2022,2021-08-29,tmean_c,NA
bannei,2022,2021-08-30,tmean_c,NA
bannei,2022,2021-08-31,tmean_c,NA
bannei,2022,2021-09-01,tmean_c,NA
bannei,2022,2021-09-02,tmean_c,NA
bannei,2022,2021-09-03,tmean_c,NA
bannei,2022,2021-09-04,tmean_c,NA
bannei,2022,2021-09-05,tmean_c,NA
bannei,2022,2021-09-06,tmean_c,NA
bannei,2022,2021-09-07,tmean_c,NA
bannei,2022,2021-09-08,tmean_c,NA
bannei,2022,2021-09-09,tmean_c,NA
bannei,2022,2021-09-10,tmean_c,NA
bannei,2022,2021-09-11,tmean_c,NA
bannei,2022,2021-09-12,tmean_c,NA
bannei,2022,2021-09-13,tmean_c,NA
bannei,2022,2021-09-14,tmean_c,NA
bannei,2022,2021-09-15,tmean_c,NA
bannei,2022,2021-09-16,tmean_c,NA
bannei,2022,2021-09-17,tmean_c,NA
bannei,2022,2021-09-18,tmean_c,NA
bannei,2022,2021-09-19,tmean_c,NA
bannei,2022,2021-09-20,tmean_c,NA
bannei,2022,2021-09-21,tmean_c,NA
bannei,2022,2021-09-22,tmean_c,NA
bannei,2022,2021-09-23,tmean_c,NA
bannei,2022,2021-09-24,tmean_c,NA
bannei,2022,2021-09-25,tmean_c,NA
bannei,2022,2021-09-26,tmean_c,NA
bannei,2022,2021-09-27,tmean_c,NA
bannei,2022,2021-09-28,tmean_c,NA
bannei,2022,2021-09-29,tmean_c,NA
bannei,2022,2021-09-30,tmean_c,NA
bannei,2022,2021-10-01,tmean_c,28.4
bannei,2022,2021-10-02,tmean_c,28.4
bannei,2022,2021-10-03,tmean_c,28.4
bannei,2022,2021-10-04,tmean_c,27
bannei,2022,2021-10-05,tmean_c,25.5
bannei,2022,2021-10-06,tmean_c,26.9
bannei,2022,2021-10-07,tmean_c,25.9
bannei,2022,2021-10-08,tmean_c,25.3
bannei,2022,2021-10-09,tmean_c,25.6
bannei,2022,2021-10-10,tmean_c,27.2
bannei,2022,2021-10-11,tmean_c,26.4
bannei,2022,2021-10-12,tmean_c,24.7
bannei,2022,2021-10-13,tmean_c,22.8
bannei,2022,2021-10-14,tmean_c,25.8
bannei,2022,2021-10-15,tmean_c,26.1
bannei,2022,2021-10-16,tmean_c,24.8
bannei,2022,2021-10-17,tmean_c,23.2
bannei,2022,2021-10-18,tmean_c,23.8
bannei,2022,2021-10-19,tmean_c,25.8
bannei,2022,2021-10-20,tmean_c,26.2
bannei,2022,2021-10-21,tmean_c,27.1
bannei,2022,2021-10-22,tmean_c,21.2
bannei,2022,2021-10-23,tmean_c,21.3
bannei,2022,2021-10-24,tmean_c,22.7
bannei,2022,2021-10-25,tmean_c,23
bannei,2022,2021-10-26,tmean_c,23.1
bannei,2022,2021-10-27,tmean_c,23.9
bannei,2022,2021-10-28,tmean_c,24.4
bannei,2022,2021-10-29,tmean_c,25.2
bannei,2022,2021-10-30,tmean_c,25.2
bannei,2022,2021-10-31,tmean_c,25.4
bannei,2022,2021-11-01,tmean_c,25
bannei,2022,2021-11-02,tmean_c,25.4
bannei,2022,2021-11-03,tmean_c,26
bannei,2022,2021-11-04,tmean_c,26
bannei,2022,2021-11-05,tmean_c,26.7
bannei,2022,2021-11-06,tmean_c,26.8
bannei,2022,2021-11-07,tmean_c,26.2
bannei,2022,2021-11-08,tmean_c,21.7
bannei,2022,2021-11-09,tmean_c,20.4
bannei,2022,2021-11-10,tmean_c,21.8
bannei,2022,2021-11-11,tmean_c,21.2
bannei,2022,2021-11-12,tmean_c,23.1
bannei,2022,2021-11-13,tmean_c,22.6
bannei,2022,2021-11-14,tmean_c,22.4
bannei,2022,2021-11-15,tmean_c,23.2
bannei,2022,2021-11-16,tmean_c,23.4
bannei,2022,2021-11-17,tmean_c,23.7
bannei,2022,2021-11-18,tmean_c,23.2
bannei,2022,2021-11-19,tmean_c,23.4
bannei,2022,2021-11-20,tmean_c,25.2
bannei,2022,2021-11-21,tmean_c,26.3
bannei,2022,2021-11-22,tmean_c,21.4
bannei,2022,2021-11-23,tmean_c,18.2
bannei,2022,2021-11-24,tmean_c,19.4
bannei,2022,2021-11-25,tmean_c,19.4
bannei,2022,2021-11-26,tmean_c,20.6
bannei,2022,2021-11-27,tmean_c,20.6
bannei,2022,2021-11-28,tmean_c,21.9
bannei,2022,2021-11-29,tmean_c,21.9
bannei,2022,2021-11-30,tmean_c,20.7
bannei,2022,2021-12-01,tmean_c,19.4
