source_block_id,excel_row,excel_harvest_year,word_source_file,word_table,word_row,word_report_year_from_filename,matched_tree_yields_kg,interpretation
yield_Sheet1_r03,3,2022,示范园/2022年荔枝龙眼产业技术体系示范园-海口站（20220825）.doc,5,3,2022,35.06;32.8;30.77,numeric_evidence_only_no_year_override
yield_Sheet1_r06,6,2022,示范园/2022年荔枝龙眼产业技术体系示范园-海口站（20220825）.doc,5,6,2022,136.08;137.81;120.88,numeric_evidence_only_no_year_override
yield_Sheet1_r09,9,2022,示范园/2022年荔枝龙眼产业技术体系示范园-海口站（20220825）.doc,5,18,2022,115.21;120.6;113.25,numeric_evidence_only_no_year_override
yield_Sheet1_r12,12,2023,示范园/2023年荔枝龙眼产业技术体系示范园-海口站（20230825）(1).doc,5,3,2023,55.06;47.8;46.77,numeric_evidence_only_no_year_override
yield_Sheet1_r15,15,2023,示范园/2023年荔枝龙眼产业技术体系示范园-海口站（20230825）(1).doc,5,6,2023,56.08;57.81;50.88,numeric_evidence_only_no_year_override
yield_Sheet1_r18,18,2023,示范园/2023年荔枝龙眼产业技术体系示范园-海口站（20230825）(1).doc,5,18,2023,49.21;51.6;48.25,numeric_evidence_only_no_year_override
yield_Sheet1_r21,21,2024,示范园/2024年荔枝龙眼产业技术体系示范园-海口站（20240825）.doc,5,3,2024,20.99;22.01;22.49,numeric_evidence_only_no_year_override
yield_Sheet1_r24,24,2024,示范园/2024年荔枝龙眼产业技术体系示范园-海口站（20240825）.doc,5,6,2024,9.57;6.97;7.94,numeric_evidence_only_no_year_override
yield_Sheet1_r27,27,2024,示范园/2024年荔枝龙眼产业技术体系示范园-海口站（20240825）.doc,5,18,2024,58.3;61.55;64.89,numeric_evidence_only_no_year_override
yield_Sheet1_r33,33,2025,示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,5,6,2025,34.26;33.54;32.85,numeric_evidence_only_no_year_override
yield_Sheet1_r36,36,2025,示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,5,18,2025,70.63;69.35;75.3,numeric_evidence_only_no_year_override
yield_Sheet1_r39,39,2026,示范园/2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,5,3,2026,38.45;44.21;37.37,numeric_evidence_only_no_year_override
yield_Sheet1_r42,42,2026,示范园/2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,5,6,2026,60.11;55.68;60.04,numeric_evidence_only_no_year_override
yield_Sheet1_r45,45,2026,示范园/2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,5,18,2026,71.67;76.23;77.88,numeric_evidence_only_no_year_override
