source_file,text_line,text
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,944,海口云龙办内果园：品种妃子笑，2025年没有投产，树体恢复较好，成花率高，坐果率也高，平均单株产量37.88公斤。
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,945,海口市三门坡镇红明农场：品种为白糖罂，受前年超强台风影响，树冠还在恢复阶段，新梢生长够整齐，加上暖冬，成花率没达到理想水平。平均单株产量 41.67公斤。产量属于中产水平。
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,944,办内示范园：2024年12月28日，叶面喷施细胞分裂素20毫升+磷酸二氢钾30克+40%乙烯利3毫升+杀梢素0.8毫升配30斤水进行第一次调花。2025年1月9日少量出现“白点”。2月18日进行现场测花，其成花率约60%，是近5年成花率最低的一年。因台风影响，枝梢长势不整齐，树势弱，要取得理想产量难度大，经讨论，3月1日决定放丢投产，转向以养树为目的的管理方案。
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,945,红明示范园：白糖罂于1月中旬大量现“白点”，由于受台风损伤，成花率不高，花穗生长不整齐，有些枝条出现冲梢现象。2月18日测花，白糖罂成花率不足70%。
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,946,永发示范园：妃子笑现“白点”时间在1月中旬，白糖罂现“白点”时间则在1月下旬。其它品种成花物候期与同区域其他果园相近，受台风影响，妃子笑、白糖罂花芽质量较弱，成花比例不高，紫娘喜成花率在70%左右。妃子笑花穗采取药物疏蕾方式进行处理。2月20日测花，妃子笑成花率为80%，白糖罂成花率为25%。妃子笑采取机械疏花和药物疏蕾相结合的花穗处理方式，3月1日药物处理花穗，疏蕾效果好，坐果率高。
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,952,海口市三门坡镇红明农场：品种为白糖罂，受超强台风影响，部分树枝补折断，新梢生长不整齐，平均单株产量32.15公斤。产量不高，价格也偏低，连续两年出现亏本情况。
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,953,澄迈县永发镇永发果园：品种妃子笑，受超强台风的影响，成花情况不理想，坐果率也不高，平均单株产量22.16公斤。
示范园/2025年荔枝龙眼产业技术体系示范园-海口站（20250827）.doc,959,受去年超强台风的影响，海口、文昌、澄迈减产明显，其它地区都有不同程度的增产。全省总产量在22万吨左右，比2024年增加4万吨，是丰产年份。上市时间比2024年晚15天左右，结束时间推迟5天左右。销售较顺畅，前期价格高，后期价格偏低。没有出现大面积的病虫危害。总体来看，2025年属于丰产又丰收的一年。
示范园/2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,944,海口云龙办内果园：品种妃子笑，2025年没有投产，树体恢复较好，成花率高，坐果率也高，平均单株产量37.88公斤。
示范园/2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,945,海口市三门坡镇红明农场：品种为白糖罂，受前年超强台风影响，树冠还在恢复阶段，新梢生长够整齐，加上暖冬，成花率没达到理想水平。平均单株产量 41.67公斤。产量属于中产水平。
