orchard_id,region_id,station_id,cultivar,harvest_year,source_block_id,event_name,event_date,calendar_year,day_of_year,decoded_candidate_date,date_derivation,date_year_rebased,date_authority,date_authority_source,source_file,source_sheet,source_row,source_column,source_cell,harvest_year_source_cell,raw_value,cell_data_type,number_format,qc_flag
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,autumn_flush_mature,2021-09-25,2021,268,2026-09-25,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,E,E2,A2,46290,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,white_tip,2021-12-25,2021,359,2021-12-25,A_column_harvest_year_plus_original_month_day,0,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,F,F2,A2,44555,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,inflorescence_emergence,2022-01-20,2022,20,2026-01-20,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,G,G2,A2,46042,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,initial_bloom,2022-03-01,2022,60,2026-03-01,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,H,H2,A2,46082,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,full_bloom,2022-03-10,2022,69,2026-03-10,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,I,I2,A2,46091,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,end_bloom,2022-03-15,2022,74,2026-03-15,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,J,J2,A2,46096,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,initial_fruit_set,2022-03-15,2022,74,2026-03-15,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,K,K2,A2,46096,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,fruit_drop_1,2022-03-10,2022,69,2026-03-10,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,L,L2,A2,46091,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,fruit_drop_2,2022-04-03,2022,93,2026-04-03,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,M,M2,A2,46115,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,color_break,2022-04-28,2022,118,2026-04-28,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,O,O2,A2,46140,n,General,ok
bannei,haikou,haikou_region_proxy,妃子笑,2022,pheno_Sheet1_r02,maturity,2022-05-20,2022,140,2026-05-20,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,2,P,P2,A2,46162,n,General,ok
hongming,haikou,haikou_region_proxy,白糖罂,2022,pheno_Sheet1_r03,autumn_flush_mature,2021-09-10,2021,253,2026-09-10,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,3,E,E3,A2,46275,n,General,ok
hongming,haikou,haikou_region_proxy,白糖罂,2022,pheno_Sheet1_r03,white_tip,2021-12-28,2021,362,2021-12-28,A_column_harvest_year_plus_original_month_day,0,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,3,F,F3,A2,44558,n,General,ok
hongming,haikou,haikou_region_proxy,白糖罂,2022,pheno_Sheet1_r03,inflorescence_emergence,2022-01-05,2022,5,2026-01-05,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,3,G,G3,A2,46027,n,General,ok
hongming,haikou,haikou_region_proxy,白糖罂,2022,pheno_Sheet1_r03,initial_bloom,2022-02-02,2022,33,2026-02-02,A_column_harvest_year_plus_original_month_day,1,harvest_year_column_A,experiments_guide/2026-08-27_USER_CLARIFICATION.md,物候期.xlsx,Sheet1,3,H,H3,A2,46055,n,General,ok
