season_id,orchard_id,station_id,harvest_year,source_block_id,task,start_event,end_event,start_source_cell,end_source_cell,observed_start_date,observed_end_date,candidate_start_date,candidate_end_date,candidate_duration_days_AUDIT_ONLY,observed_duration_days,raw_endpoint_pair_present,complete_date_pair,main_complete_date_pair,sensitivity_complete_date_pair,weather_coverage_ratio,tmean_coverage_ratio,precip_coverage_ratio,expected_days,observed_weather_days,missing_tmean_days,model_eligible,qc_flag
bannei_2022,bannei,haikou_region_proxy,2022,pheno_Sheet1_r02,P1,autumn_flush_mature,inflorescence_emergence,E2,G2,2021-09-25,2022-01-20,2026-09-25,2026-01-20,-248,117,1,1,1,1,0.9491525424,0.9491525424,0.9491525424,118,112,6,0,incomplete_stage_weather
bannei_2022,bannei,haikou_region_proxy,2022,pheno_Sheet1_r02,P2,inflorescence_emergence,full_bloom,G2,I2,2022-01-20,2022-03-10,2026-01-20,2026-03-10,49,49,1,1,1,1,0.24,0.24,0.24,50,12,38,0,incomplete_stage_weather
bannei_2022,bannei,haikou_region_proxy,2022,pheno_Sheet1_r02,P3,full_bloom,maturity,I2,P2,2022-03-10,2022-05-20,2026-03-10,2026-05-20,71,71,1,1,1,1,0,0,0,72,0,72,0,incomplete_stage_weather
bannei_2023,bannei,haikou_region_proxy,2023,pheno_Sheet1_r05,P1,autumn_flush_mature,inflorescence_emergence,E5,G5,2022-09-25,2023-01-20,2026-09-25,2026-01-20,-248,117,1,1,1,1,0.9491525424,0.9491525424,0.9491525424,118,112,6,0,incomplete_stage_weather
bannei_2023,bannei,haikou_region_proxy,2023,pheno_Sheet1_r05,P2,inflorescence_emergence,full_bloom,G5,I5,2023-01-20,2023-03-10,2026-01-20,2026-03-10,49,49,1,1,1,1,0.24,0.24,0.24,50,12,38,0,incomplete_stage_weather
bannei_2023,bannei,haikou_region_proxy,2023,pheno_Sheet1_r05,P3,full_bloom,maturity,I5,P5,2023-03-10,2023-05-22,2026-03-10,2026-05-22,73,73,1,1,1,1,0,0,0,74,0,74,0,incomplete_stage_weather
bannei_2024,bannei,haikou_region_proxy,2024,pheno_Sheet1_r08,P1,autumn_flush_mature,inflorescence_emergence,E8,G8,2023-09-25,2024-02-01,2026-09-25,2026-02-01,-236,129,1,1,1,1,0.9461538462,0.9461538462,0.9461538462,130,123,7,0,incomplete_stage_weather
bannei_2024,bannei,haikou_region_proxy,2024,pheno_Sheet1_r08,P2,inflorescence_emergence,full_bloom,G8,I8,2024-02-01,2024-03-17,2026-02-01,2026-03-17,44,45,1,1,1,1,0,0,0,46,0,46,0,incomplete_stage_weather
bannei_2024,bannei,haikou_region_proxy,2024,pheno_Sheet1_r08,P3,full_bloom,maturity,I8,P8,2024-03-17,2024-05-13,2026-03-17,2026-05-13,57,57,1,1,1,1,0,0,0,58,0,58,0,incomplete_stage_weather
bannei_2025,bannei,haikou_region_proxy,2025,pheno_Sheet1_r11,P1,autumn_flush_mature,inflorescence_emergence,E11,G11,2024-09-25,2025-02-01,2026-09-25,2026-02-01,-236,129,1,1,0,1,0.9461538462,0.9461538462,0.9461538462,130,123,7,0,incomplete_stage_weather;typhoon_main_excluded
bannei_2025,bannei,haikou_region_proxy,2025,pheno_Sheet1_r11,P2,inflorescence_emergence,full_bloom,G11,I11,2025-02-01,NA,2026-02-01,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,complete_dates_not_validated;typhoon_main_excluded
bannei_2025,bannei,haikou_region_proxy,2025,pheno_Sheet1_r11,P3,full_bloom,maturity,I11,P11,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,complete_dates_not_validated;typhoon_main_excluded
bannei_2026,bannei,haikou_region_proxy,2026,pheno_Sheet1_r14,P1,autumn_flush_mature,inflorescence_emergence,E14,G14,2025-09-25,2026-01-10,2026-09-25,2026-01-10,-258,107,1,1,1,1,0.9444444444,0.9444444444,0.9444444444,108,102,6,0,incomplete_stage_weather
bannei_2026,bannei,haikou_region_proxy,2026,pheno_Sheet1_r14,P2,inflorescence_emergence,full_bloom,G14,I14,2026-01-10,2026-02-24,2026-01-10,2026-02-24,45,45,1,1,1,1,0.4782608696,0.4782608696,0.4782608696,46,22,24,0,incomplete_stage_weather
bannei_2026,bannei,haikou_region_proxy,2026,pheno_Sheet1_r14,P3,full_bloom,maturity,I14,P14,2026-02-24,2026-05-02,2026-02-24,2026-05-02,67,67,1,1,1,1,0,0,0,68,0,68,0,incomplete_stage_weather
