season_id,orchard_id,region_id,station_id,harvest_year,window_start,window_end,expected_days,observed_days,date_coverage_ratio,tmean_c_coverage_ratio,tmin_c_coverage_ratio,tmax_c_coverage_ratio,precip_mm_coverage_ratio,relative_humidity_pct_coverage_ratio,sunshine_h_coverage_ratio,wind_speed_coverage_ratio
bannei_2022,bannei,haikou,haikou_region_proxy,2022,2021-10-01,2022-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.336996337,0
bannei_2023,bannei,haikou,haikou_region_proxy,2023,2022-10-01,2023-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.336996337,0
bannei_2024,bannei,haikou,haikou_region_proxy,2024,2023-10-01,2024-06-30,274,123,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0
bannei_2025,bannei,haikou,haikou_region_proxy,2025,2024-10-01,2025-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4468864469,0
bannei_2026,bannei,haikou,haikou_region_proxy,2026,2025-10-01,2026-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0
hongming_2022,hongming,haikou,haikou_region_proxy,2022,2021-10-01,2022-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.336996337,0
hongming_2023,hongming,haikou,haikou_region_proxy,2023,2022-10-01,2023-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.336996337,0
hongming_2024,hongming,haikou,haikou_region_proxy,2024,2023-10-01,2024-06-30,274,123,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0
hongming_2025,hongming,haikou,haikou_region_proxy,2025,2024-10-01,2025-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4468864469,0
hongming_2026,hongming,haikou,haikou_region_proxy,2026,2025-10-01,2026-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0
luhong_2022,luhong,lingshui,lingshui_region_proxy,2022,2021-10-01,2022-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4432234432,0.4505494505,0.336996337,0
luhong_2023,luhong,lingshui,lingshui_region_proxy,2023,2022-10-01,2023-06-30,273,123,0.4505494505,0.3333333333,0.3333333333,0.3333333333,0.4468864469,0.4468864469,0.336996337,0
luhong_2024,luhong,lingshui,lingshui_region_proxy,2024,2023-10-01,2024-06-30,274,123,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0.4489051095,0
luhong_2025,luhong,lingshui,lingshui_region_proxy,2025,2024-10-01,2025-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0
luhong_2026,luhong,lingshui,lingshui_region_proxy,2026,2025-10-01,2026-06-30,273,123,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4505494505,0.4212454212,0
