season_id,orchard_id,harvest_year,station_id,task,variable,missing_start,missing_end,missing_days,main_analysis_eligible
bannei_2022,bannei,2022,haikou_region_proxy,P1,tmean_c,2021-09-25,2021-09-30,6,1
bannei_2022,bannei,2022,haikou_region_proxy,P1,precip_mm,2021-09-25,2021-09-30,6,1
bannei_2022,bannei,2022,haikou_region_proxy,P2,tmean_c,2022-02-01,2022-03-10,38,1
bannei_2022,bannei,2022,haikou_region_proxy,P2,precip_mm,2022-02-01,2022-03-10,38,1
bannei_2022,bannei,2022,haikou_region_proxy,P3,tmean_c,2022-03-10,2022-05-20,72,1
bannei_2022,bannei,2022,haikou_region_proxy,P3,precip_mm,2022-03-10,2022-05-20,72,1
bannei_2023,bannei,2023,haikou_region_proxy,P1,tmean_c,2022-09-25,2022-09-30,6,1
bannei_2023,bannei,2023,haikou_region_proxy,P1,precip_mm,2022-09-25,2022-09-30,6,1
bannei_2023,bannei,2023,haikou_region_proxy,P2,tmean_c,2023-02-01,2023-03-10,38,1
bannei_2023,bannei,2023,haikou_region_proxy,P2,precip_mm,2023-02-01,2023-03-10,38,1
bannei_2023,bannei,2023,haikou_region_proxy,P3,tmean_c,2023-03-10,2023-05-22,74,1
bannei_2023,bannei,2023,haikou_region_proxy,P3,precip_mm,2023-03-10,2023-05-22,74,1
bannei_2024,bannei,2024,haikou_region_proxy,P1,tmean_c,2023-09-25,2023-09-30,6,1
bannei_2024,bannei,2024,haikou_region_proxy,P1,tmean_c,2024-02-01,2024-02-01,1,1
bannei_2024,bannei,2024,haikou_region_proxy,P1,precip_mm,2023-09-25,2023-09-30,6,1
bannei_2024,bannei,2024,haikou_region_proxy,P1,precip_mm,2024-02-01,2024-02-01,1,1
bannei_2024,bannei,2024,haikou_region_proxy,P2,tmean_c,2024-02-01,2024-03-17,46,1
bannei_2024,bannei,2024,haikou_region_proxy,P2,precip_mm,2024-02-01,2024-03-17,46,1
bannei_2024,bannei,2024,haikou_region_proxy,P3,tmean_c,2024-03-17,2024-05-13,58,1
bannei_2024,bannei,2024,haikou_region_proxy,P3,precip_mm,2024-03-17,2024-05-13,58,1
bannei_2025,bannei,2025,haikou_region_proxy,P1,tmean_c,2024-09-25,2024-09-30,6,0
bannei_2025,bannei,2025,haikou_region_proxy,P1,tmean_c,2025-02-01,2025-02-01,1,0
bannei_2025,bannei,2025,haikou_region_proxy,P1,precip_mm,2024-09-25,2024-09-30,6,0
bannei_2025,bannei,2025,haikou_region_proxy,P1,precip_mm,2025-02-01,2025-02-01,1,0
bannei_2026,bannei,2026,haikou_region_proxy,P1,tmean_c,2025-09-25,2025-09-30,6,1
bannei_2026,bannei,2026,haikou_region_proxy,P1,precip_mm,2025-09-25,2025-09-30,6,1
bannei_2026,bannei,2026,haikou_region_proxy,P2,tmean_c,2026-02-01,2026-02-24,24,1
bannei_2026,bannei,2026,haikou_region_proxy,P2,precip_mm,2026-02-01,2026-02-24,24,1
bannei_2026,bannei,2026,haikou_region_proxy,P3,tmean_c,2026-02-24,2026-05-02,68,1
bannei_2026,bannei,2026,haikou_region_proxy,P3,precip_mm,2026-02-24,2026-05-02,68,1
hongming_2022,hongming,2022,haikou_region_proxy,P1,tmean_c,2021-09-10,2021-09-30,21,1
hongming_2022,hongming,2022,haikou_region_proxy,P1,precip_mm,2021-09-10,2021-09-30,21,1
hongming_2022,hongming,2022,haikou_region_proxy,P2,tmean_c,2022-02-01,2022-03-02,30,1
hongming_2022,hongming,2022,haikou_region_proxy,P2,precip_mm,2022-02-01,2022-03-02,30,1
hongming_2022,hongming,2022,haikou_region_proxy,P3,tmean_c,2022-03-02,2022-05-10,70,1
hongming_2022,hongming,2022,haikou_region_proxy,P3,precip_mm,2022-03-02,2022-05-10,70,1
hongming_2023,hongming,2023,haikou_region_proxy,P1,tmean_c,2022-09-20,2022-09-30,11,1
hongming_2023,hongming,2023,haikou_region_proxy,P1,precip_mm,2022-09-20,2022-09-30,11,1
hongming_2023,hongming,2023,haikou_region_proxy,P2,tmean_c,2023-02-01,2023-03-10,38,1
hongming_2023,hongming,2023,haikou_region_proxy,P2,precip_mm,2023-02-01,2023-03-10,38,1
hongming_2023,hongming,2023,haikou_region_proxy,P3,tmean_c,2023-03-10,2023-05-18,70,1
hongming_2023,hongming,2023,haikou_region_proxy,P3,precip_mm,2023-03-10,2023-05-18,70,1
hongming_2024,hongming,2024,haikou_region_proxy,P1,tmean_c,2023-09-20,2023-09-30,11,1
hongming_2024,hongming,2024,haikou_region_proxy,P1,precip_mm,2023-09-20,2023-09-30,11,1
hongming_2024,hongming,2024,haikou_region_proxy,P2,tmean_c,2024-02-01,2024-03-10,39,1
hongming_2024,hongming,2024,haikou_region_proxy,P2,precip_mm,2024-02-01,2024-03-10,39,1
hongming_2024,hongming,2024,haikou_region_proxy,P3,tmean_c,2024-03-10,2024-05-12,64,1
hongming_2024,hongming,2024,haikou_region_proxy,P3,precip_mm,2024-03-10,2024-05-12,64,1
hongming_2025,hongming,2025,haikou_region_proxy,P1,tmean_c,2024-09-20,2024-09-30,11,0
hongming_2025,hongming,2025,haikou_region_proxy,P1,precip_mm,2024-09-20,2024-09-30,11,0
hongming_2025,hongming,2025,haikou_region_proxy,P2,tmean_c,2025-02-01,2025-03-10,38,0
hongming_2025,hongming,2025,haikou_region_proxy,P2,precip_mm,2025-02-01,2025-03-10,38,0
hongming_2025,hongming,2025,haikou_region_proxy,P3,tmean_c,2025-03-10,2025-05-25,77,0
hongming_2025,hongming,2025,haikou_region_proxy,P3,precip_mm,2025-03-10,2025-05-25,77,0
luhong_2022,luhong,2022,lingshui_region_proxy,P1,tmean_c,2021-08-28,2021-09-30,34,1
luhong_2022,luhong,2022,lingshui_region_proxy,P1,precip_mm,2021-08-28,2021-09-30,34,1
luhong_2022,luhong,2022,lingshui_region_proxy,P1,precip_mm,2021-12-08,2021-12-08,1,1
luhong_2022,luhong,2022,lingshui_region_proxy,P1,precip_mm,2021-12-10,2021-12-10,1,1
luhong_2022,luhong,2022,lingshui_region_proxy,P2,tmean_c,2022-02-01,2022-02-15,15,1
luhong_2022,luhong,2022,lingshui_region_proxy,P2,precip_mm,2022-02-01,2022-02-15,15,1
luhong_2022,luhong,2022,lingshui_region_proxy,P3,tmean_c,2022-02-15,2022-04-25,70,1
luhong_2022,luhong,2022,lingshui_region_proxy,P3,precip_mm,2022-02-15,2022-04-25,70,1
luhong_2023,luhong,2023,lingshui_region_proxy,P1,tmean_c,2022-08-28,2022-09-30,34,1
luhong_2023,luhong,2023,lingshui_region_proxy,P1,tmean_c,2022-10-06,2022-10-06,1,1
luhong_2023,luhong,2023,lingshui_region_proxy,P1,tmean_c,2023-01-01,2023-01-03,3,1
luhong_2023,luhong,2023,lingshui_region_proxy,P1,precip_mm,2022-08-28,2022-09-30,34,1
luhong_2023,luhong,2023,lingshui_region_proxy,P1,precip_mm,2022-10-06,2022-10-06,1,1
luhong_2023,luhong,2023,lingshui_region_proxy,P2,tmean_c,2023-01-03,2023-02-15,44,1
luhong_2023,luhong,2023,lingshui_region_proxy,P2,precip_mm,2023-02-01,2023-02-15,15,1
luhong_2023,luhong,2023,lingshui_region_proxy,P3,tmean_c,2023-02-15,2023-05-05,80,1
luhong_2023,luhong,2023,lingshui_region_proxy,P3,precip_mm,2023-02-15,2023-05-05,80,1
luhong_2024,luhong,2024,lingshui_region_proxy,P1,tmean_c,2023-09-05,2023-09-30,26,1
luhong_2024,luhong,2024,lingshui_region_proxy,P1,precip_mm,2023-09-05,2023-09-30,26,1
luhong_2024,luhong,2024,lingshui_region_proxy,P2,tmean_c,2024-02-01,2024-02-15,15,1
luhong_2024,luhong,2024,lingshui_region_proxy,P2,precip_mm,2024-02-01,2024-02-15,15,1
luhong_2024,luhong,2024,lingshui_region_proxy,P3,tmean_c,2024-02-15,2024-05-05,81,1
luhong_2024,luhong,2024,lingshui_region_proxy,P3,precip_mm,2024-02-15,2024-05-05,81,1
luhong_2025,luhong,2025,lingshui_region_proxy,P1,tmean_c,2024-09-05,2024-09-30,26,1
luhong_2025,luhong,2025,lingshui_region_proxy,P1,precip_mm,2024-09-05,2024-09-30,26,1
luhong_2025,luhong,2025,lingshui_region_proxy,P2,tmean_c,2025-02-01,2025-02-15,15,1
luhong_2025,luhong,2025,lingshui_region_proxy,P2,precip_mm,2025-02-01,2025-02-15,15,1
luhong_2025,luhong,2025,lingshui_region_proxy,P3,tmean_c,2025-02-15,2025-05-05,80,1
luhong_2025,luhong,2025,lingshui_region_proxy,P3,precip_mm,2025-02-15,2025-05-05,80,1
luhong_2026,luhong,2026,lingshui_region_proxy,P1,tmean_c,2025-08-25,2025-09-30,37,1
luhong_2026,luhong,2026,lingshui_region_proxy,P1,precip_mm,2025-08-25,2025-09-30,37,1
luhong_2026,luhong,2026,lingshui_region_proxy,P2,tmean_c,2026-02-01,2026-02-15,15,1
luhong_2026,luhong,2026,lingshui_region_proxy,P2,precip_mm,2026-02-01,2026-02-15,15,1
luhong_2026,luhong,2026,lingshui_region_proxy,P3,tmean_c,2026-02-15,2026-05-10,85,1
luhong_2026,luhong,2026,lingshui_region_proxy,P3,precip_mm,2026-02-15,2026-05-10,85,1
