season_id,orchard_id,harvest_year,task,start_date,end_date,duration_days,phenology_main_eligible,complete_pair
bannei_2022,bannei,2022,P1,2021-09-25,2022-01-20,117,1,True
bannei_2022,bannei,2022,P2,2022-01-20,2022-03-10,49,1,True
bannei_2022,bannei,2022,P3,2022-03-10,2022-05-20,71,1,True
bannei_2022,bannei,2022,P1A,2021-09-25,2021-12-25,91,1,True
bannei_2022,bannei,2022,P1B,2021-12-25,2022-01-20,26,1,True
bannei_2023,bannei,2023,P1,2022-09-25,2023-01-20,117,1,True
bannei_2023,bannei,2023,P2,2023-01-20,2023-03-10,49,1,True
bannei_2023,bannei,2023,P3,2023-03-10,2023-05-22,73,1,True
bannei_2023,bannei,2023,P1A,2022-09-25,2023-01-03,100,1,True
bannei_2023,bannei,2023,P1B,2023-01-03,2023-01-20,17,1,True
bannei_2024,bannei,2024,P1,2023-09-25,2024-02-01,129,1,True
bannei_2024,bannei,2024,P2,2024-02-01,2024-03-17,45,1,True
bannei_2024,bannei,2024,P3,2024-03-17,2024-05-13,57,1,True
bannei_2024,bannei,2024,P1A,2023-09-25,2024-01-15,112,1,True
bannei_2024,bannei,2024,P1B,2024-01-15,2024-02-01,17,1,True
bannei_2025,bannei,2025,P1,2024-09-25,2025-02-01,129,0,True
bannei_2025,bannei,2025,P2,2025-02-01,NA,NA,0,False
bannei_2025,bannei,2025,P3,NA,NA,NA,0,False
bannei_2025,bannei,2025,P1A,2024-09-25,2025-01-12,109,0,True
bannei_2025,bannei,2025,P1B,2025-01-12,2025-02-01,20,0,True
bannei_2026,bannei,2026,P1,2025-09-25,2026-01-10,107,1,True
bannei_2026,bannei,2026,P2,2026-01-10,2026-02-24,45,1,True
bannei_2026,bannei,2026,P3,2026-02-24,2026-05-02,67,1,True
bannei_2026,bannei,2026,P1A,2025-09-25,2025-12-25,91,1,True
bannei_2026,bannei,2026,P1B,2025-12-25,2026-01-10,16,1,True
hongming_2022,hongming,2022,P1,2021-09-10,2022-01-05,117,1,True
hongming_2022,hongming,2022,P2,2022-01-05,2022-03-02,56,1,True
hongming_2022,hongming,2022,P3,2022-03-02,2022-05-10,69,1,True
hongming_2022,hongming,2022,P1A,2021-09-10,2021-12-28,109,1,True
hongming_2022,hongming,2022,P1B,2021-12-28,2022-01-05,8,1,True
hongming_2023,hongming,2023,P1,2022-09-20,2023-01-15,117,1,True
hongming_2023,hongming,2023,P2,2023-01-15,2023-03-10,54,1,True
hongming_2023,hongming,2023,P3,2023-03-10,2023-05-18,69,1,True
hongming_2023,hongming,2023,P1A,2022-09-20,2023-01-05,107,1,True
hongming_2023,hongming,2023,P1B,2023-01-05,2023-01-15,10,1,True
hongming_2024,hongming,2024,P1,2023-09-20,2024-01-25,127,1,True
hongming_2024,hongming,2024,P2,2024-01-25,2024-03-10,45,1,True
hongming_2024,hongming,2024,P3,2024-03-10,2024-05-12,63,1,True
hongming_2024,hongming,2024,P1A,2023-09-20,2024-01-10,112,1,True
hongming_2024,hongming,2024,P1B,2024-01-10,2024-01-25,15,1,True
hongming_2025,hongming,2025,P1,2024-09-20,2025-01-25,127,0,True
hongming_2025,hongming,2025,P2,2025-01-25,2025-03-10,44,0,True
hongming_2025,hongming,2025,P3,2025-03-10,2025-05-25,76,0,True
hongming_2025,hongming,2025,P1A,2024-09-20,2025-01-20,122,0,True
hongming_2025,hongming,2025,P1B,2025-01-20,2025-01-25,5,0,True
hongming_2026,hongming,2026,P1,NA,NA,NA,0,False
hongming_2026,hongming,2026,P2,NA,NA,NA,0,False
hongming_2026,hongming,2026,P3,NA,NA,NA,0,False
hongming_2026,hongming,2026,P1A,NA,NA,NA,0,False
hongming_2026,hongming,2026,P1B,NA,NA,NA,0,False
luhong_2022,luhong,2022,P1,2021-08-28,2022-01-03,128,1,True
luhong_2022,luhong,2022,P2,2022-01-03,2022-02-15,43,1,True
luhong_2022,luhong,2022,P3,2022-02-15,2022-04-25,69,1,True
luhong_2022,luhong,2022,P1A,2021-08-28,2021-12-25,119,1,True
luhong_2022,luhong,2022,P1B,2021-12-25,2022-01-03,9,1,True
