season_id,task,expected_days,actual_days,tmean_c_mean,tmin_c_min,precip_mm_sum,et0_mm_sum,P_minus_ET0_mm,precipitation_hours,shortwave_radiation_mean,P1-D1_tmean_c_22,P1-D1_tmean_c_20,P1-D1_tmean_c_18,P1-D1_tmean_c_15,P1-D1_tmin_c_22,P1-D1_tmin_c_20,P1-D1_tmin_c_18,P1-D1_tmin_c_15,P1-D2_temperature_18,P1-D2_temperature_20,P1-D2_temperature_22,P1-H1_temperature_22,P1-H1_temperature_20,P1-H1_temperature_18,P1-H1_temperature_15,P1-H2_temperature_18,P1-H2_temperature_20,P1-H2_temperature_22,P2_temperature_10,P3_temperature_10
bannei_2022,P1,118,118,22.90847458,15.9,525.1,367.99,157.11,716,12.82983051,51,22,2,0,61,35,9,0,2.1,25.1,103,1247,560,83,0,74.8,653.1,2515.5,NA,NA
bannei_2022,P2,50,50,19.44,12.6,152.8,114.21,38.59,425,11.7682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA
bannei_2022,P3,72,72,24.1875,17.3,266.2,252.33,13.87,472,17.60375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.5
bannei_2023,P1,118,118,22.62033898,14.5,518.8,357.69,161.11,985,12.34398305,50,38,15,0,53,43,21,2,18.8,68.3,157.7,1194,876,332,25,478.8,1685.5,3802.7,NA,NA
bannei_2023,P2,50,50,19.744,13.9,33.4,148.36,-114.96,181,15.2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487.2,NA
bannei_2023,P3,74,74,25.47027027,19,224.7,303.85,-79.15,376,19.96121622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144.8
bannei_2024,P1,130,130,23.31538462,13.7,538.3,376.69,161.61,1138,12.359,49,17,12,3,59,22,15,5,22.8,50.6,102.3,1050,395,281,75,566.2,1245.2,2621.1,NA,NA
bannei_2024,P2,46,46,21.35,15.4,59,130.17,-71.17,281,14.13652174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522.1,NA
bannei_2024,P3,58,58,26.83793103,20.4,90.2,271.04,-180.84,170,21.56706897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976.6
bannei_2025,P1,130,130,22.43153846,13.7,324.3,441.8,-117.5,623,14.12107692,60,48,18,1,65,55,30,2,16,81.6,191,1458,1122,405,27,483.7,1994.3,4591.8,NA,NA
bannei_2026,P1,108,108,23.35185185,15.1,639.8,354.06,285.74,781,13.14925926,34,16,6,0,50,22,11,0,6.5,27.7,74.3,860,393,145,0,177.7,719.1,1860.4,NA,NA
bannei_2026,P2,46,46,20.26956522,15.9,7.1,138.46,-131.36,57,15.85717391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.4,NA
bannei_2026,P3,68,68,24.87058824,18.7,130.7,301.39,-170.69,149,20.59764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011.2
hongming_2022,P1,118,118,23.63389831,14.9,539.3,354.2,185.1,624,13.47033898,41,23,4,0,59,42,18,1,4,26.2,86.7,966,529,164,1,211.3,907.5,2425.5,NA,NA
hongming_2022,P2,57,57,19.31403509,11.1,107,121.29,-14.29,388,11.03263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.9,NA
hongming_2022,P3,70,70,24.24571429,15.5,277.6,263.24,14.36,415,18.06957143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997.2
hongming_2023,P1,118,118,22.7440678,13.2,467,324.23,142.77,781,12.2959322,44,37,16,1,63,44,30,8,16.4,66.5,146.7,1093,780,396,50,601.1,1792.6,3665.6,NA,NA
hongming_2023,P2,55,55,19.87272727,10,28.6,162.92,-134.32,167,14.46490909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,NA
hongming_2023,P3,70,70,25.79,16.9,277.7,300.56,-22.86,373,19.74385714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.3
hongming_2024,P1,128,128,23.42109375,12,457.9,356.71,101.19,844,12.63625,39,14,11,5,67,47,20,7,29.9,54.3,98.7,1018,543,259,126,767.2,1534.3,3093,NA,NA
hongming_2024,P2,46,46,20.92826087,12.6,19.8,129.74,-109.94,136,13.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.7,NA
hongming_2024,P3,64,64,27.2734375,18.8,141.8,314.08,-172.28,230,21.10828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.5
hongming_2025,P1,128,128,22.5734375,12.4,421.2,392.4,28.8,649,13.6984375,53,42,17,0,75,52,35,14,16.9,74.4,171.9,1343,894,417,84,787.4,2127.1,4389.2,NA,NA
hongming_2025,P2,45,45,19.93333333,12.4,25.4,121.34,-95.94,147,12.84888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,NA
hongming_2025,P3,77,77,25.2,14.9,340.2,348.24,-8.04,362,20.58831169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170.4
luhong_2022,P1,129,129,24.78992248,17.5,678.8,415.61,263.19,1044,14.0879845,26,3,0,0,44,22,3,0,0,2.9,32.2,617,200,16,0,4.2,188.4,993.1,NA,NA
luhong_2022,P2,44,44,21.8,17.3,48.9,115.07,-66.17,246,13.04772727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.2,NA
luhong_2022,P3,70,70,23.31714286,14.3,130.6,237.71,-107.11,417,17.32185714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.2
luhong_2023,P1,129,129,24.77751938,14.8,655.1,421.12,233.98,1055,14.30387597,30,16,3,0,35,28,15,1,2.4,22,69.5,678,381,144,2,156,683.2,1757.1,NA,NA
luhong_2023,P2,44,44,20.92954545,13.8,14.6,115.33,-100.73,111,13.02931818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.9,NA
luhong_2023,P3,80,80,24.1725,17.4,69.6,293.14,-223.54,449,18.61875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133.8
luhong_2024,P1,134,134,25.03955224,15.2,700.3,395.41,304.89,1240,13.03731343,13,6,4,0,39,12,7,0,5.2,16.6,34.6,449,169,104,0,150.6,421.4,968.7,NA,NA
luhong_2024,P2,31,31,21.17741935,15.3,11,85.25,-74.25,91,13.96193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.5,NA
luhong_2024,P3,81,81,25.29259259,17.5,74.5,288.99,-214.49,534,19.01074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238.7
luhong_2025,P1,134,134,24.2761194,14.9,765.8,432.98,332.82,834,13.65238806,40,21,2,0,46,37,17,1,1.9,22.1,86.9,883,502,141,3,132.9,718.5,2156.5,NA,NA
luhong_2025,P2,31,31,19.81612903,13.8,2.9,90.05,-87.15,29,14.38903226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.3,NA
luhong_2025,P3,80,80,23.5475,17.7,68.7,286.43,-217.73,375,18.615125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.8
luhong_2026,P1,130,130,25.16769231,17.7,1185.9,410.25,775.65,1271,13.64146154,17,3,0,0,32,15,2,0,0,2.3,19.8,415,124,4,0,0.9,102.3,627.2,NA,NA
luhong_2026,P2,46,46,20.75217391,14.5,4.5,148.97,-144.47,43,16.11934783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.6,NA
luhong_2026,P3,85,85,24.90235294,19.9,76.1,326.06,-249.96,388,19.74117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266.7
