validation,model_id,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days,delta_MAE_days,relative_MAE_reduction_pct
LOYO,P1-B0,12,12,0,4.833333333,6.110100927,4,-0.1666666667,0.7463370236,4.833333333,0,0
LOYO,P1-B1,12,12,0,8.416666667,10.04572878,9.5,-0.4166666667,0.2531311573,8.416666667,3.583333333,-74.13793103
LOYO,P1-D1,12,12,0,6.25,6.885976087,6.5,0.25,0.6978798587,6.25,1.416666667,-29.31034483
LOYO,P1-D2,12,10,2,72.41666667,149.790131,16.5,-0.3,0.3853373178,13.9,67.58333333,-1398.275862
LOYO,P1-H1,12,12,0,11.25,12.84847591,11.5,-2.083333333,0.4356267798,11.25,6.416666667,-132.7586207
LOYO,P1-H2,12,12,0,12.25,14.41931575,12,1.416666667,0.3150447412,12.25,7.416666667,-153.4482759
LOYO,P1-H3,12,12,0,6.75,8.088057039,6.5,0.75,0.6678475954,6.75,1.916666667,-39.65517241
rolling,P1-B0,6,6,0,7.333333333,8.144527815,7.5,-3.333333333,0.5373732906,7.333333333,0,0
rolling,P1-B1,6,6,0,12,12.16552506,12.5,-5.666666667,0.1212678125,12,4.666666667,-63.63636364
rolling,P1-D1,6,6,0,13.83333333,20.04578094,8,11.5,0.5217939321,13.83333333,6.5,-88.63636364
rolling,P1-D2,6,4,2,131.3333333,211.1863316,23,3,0.9486832981,14.5,124,-1690.909091
rolling,P1-H1,6,6,0,10.5,11.39444309,12,6.5,0.666736691,10.5,3.166666667,-43.18181818
rolling,P1-H2,6,6,0,10.5,12.04851305,10.5,3.833333333,0.7205882353,10.5,3.166666667,-43.18181818
rolling,P1-H3,6,6,0,8.166666667,8.934950102,7.5,3.833333333,0.7537023463,8.166666667,0.8333333333,-11.36363636
