fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P2_P2-B0_LOYO_2022,2022,LOYO,P2-B0,0,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",8.888888889,2023;2024;2025;2026
main_P2_P2-M1_LOYO_2022,2022,LOYO,P2-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}",7,2023;2024;2025;2026
main_P2_P2-M1_LOYO_2022,2022,LOYO,P2-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 8}",7.111111111,2023;2024;2025;2026
main_P2_P2-M1_LOYO_2022,2022,LOYO,P2-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 10}",6.777777778,2023;2024;2025;2026
main_P2_P2-M1_LOYO_2022,2022,LOYO,P2-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",6.666666667,2023;2024;2025;2026
main_P2_P2-M1_LOYO_2022,2022,LOYO,P2-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}",6.666666667,2023;2024;2025;2026
main_P2_P2-B0_LOYO_2023,2023,LOYO,P2-B0,0,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",9.333333333,2022;2024;2025;2026
main_P2_P2-M1_LOYO_2023,2023,LOYO,P2-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}",8,2022;2024;2025;2026
main_P2_P2-M1_LOYO_2023,2023,LOYO,P2-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 8}",7.555555556,2022;2024;2025;2026
main_P2_P2-M1_LOYO_2023,2023,LOYO,P2-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 10}",7.666666667,2022;2024;2025;2026
main_P2_P2-M1_LOYO_2023,2023,LOYO,P2-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",7.222222222,2022;2024;2025;2026
main_P2_P2-M1_LOYO_2023,2023,LOYO,P2-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}",8.222222222,2022;2024;2025;2026
main_P2_P2-B0_LOYO_2024,2024,LOYO,P2-B0,0,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",3,2022;2023;2025;2026
main_P2_P2-M1_LOYO_2024,2024,LOYO,P2-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}",2.888888889,2022;2023;2025;2026
main_P2_P2-M1_LOYO_2024,2024,LOYO,P2-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 8}",3,2022;2023;2025;2026
main_P2_P2-M1_LOYO_2024,2024,LOYO,P2-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 10}",3.222222222,2022;2023;2025;2026
main_P2_P2-M1_LOYO_2024,2024,LOYO,P2-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",3.111111111,2022;2023;2025;2026
main_P2_P2-M1_LOYO_2024,2024,LOYO,P2-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}",3.666666667,2022;2023;2025;2026
