validation,model_id,holdout_year,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days
LOYO,P2-B0,2022,3,3,0,5.333333333,5.416025603,6,-5.333333333,1,5.333333333
LOYO,P2-B0,2023,3,3,0,4.333333333,4.509249753,4,-4.333333333,0.8660254038,4.333333333
LOYO,P2-B0,2024,3,3,0,9,9.746794345,10,9,1,9
LOYO,P2-B0,2025,1,1,0,13,13,13,13,NA,13
LOYO,P2-B0,2026,2,2,0,6,6.32455532,6,-2,1,6
LOYO,P2-M1,2022,3,3,0,4,5.354126135,2,-2,1,4
LOYO,P2-M1,2023,3,3,0,1.666666667,2.380476143,1,-1.666666667,0.8660254038,1.666666667
LOYO,P2-M1,2024,3,3,0,6,7.527726527,5,5.333333333,1,6
LOYO,P2-M1,2025,1,1,0,17,17,17,17,NA,17
LOYO,P2-M1,2026,2,2,0,4.5,5.14781507,4.5,-2.5,1,4.5
LOYO,P2-M2,2022,3,3,0,4.333333333,5.066228051,3,-1,1,4.333333333
LOYO,P2-M2,2023,3,3,0,1.666666667,2.380476143,1,-1.666666667,0.8660254038,1.666666667
LOYO,P2-M2,2024,3,3,0,6,7.527726527,5,5.333333333,1,6
LOYO,P2-M2,2025,1,1,0,17,17,17,17,NA,17
LOYO,P2-M2,2026,2,2,0,4.5,5.14781507,4.5,-2.5,1,4.5
rolling,P2-B0,2024,3,3,0,9,9.746794345,10,9,1,9
rolling,P2-B0,2025,1,1,0,13,13,13,13,NA,13
rolling,P2-B0,2026,2,2,0,6,6.32455532,6,-2,1,6
rolling,P2-M1,2024,3,3,0,6,7.527726527,5,5.333333333,1,6
rolling,P2-M1,2025,1,1,0,16,16,16,16,NA,16
rolling,P2-M1,2026,2,2,0,4.5,5.14781507,4.5,-2.5,1,4.5
rolling,P2-M2,2024,3,3,0,6,7.527726527,5,5.333333333,1,6
rolling,P2-M2,2025,1,1,0,16,16,16,16,NA,16
rolling,P2-M2,2026,2,2,0,4.5,5.14781507,4.5,-2.5,1,4.5
