validation,model_id,orchard_id,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days
LOYO,P2-B0,bannei,4,4,0,4,4,4,0,1,4
LOYO,P2-B0,hongming,3,3,0,6.333333333,6.952217872,6,0.3333333333,1,6.333333333
LOYO,P2-B0,luhong,5,5,0,9.2,9.736529156,8,1.2,NA,9.2
LOYO,P2-M1,bannei,4,4,0,1.25,1.5,1.5,0.75,0.9486832981,1.25
LOYO,P2-M1,hongming,3,3,0,2.333333333,3,1,1.666666667,1,2.333333333
LOYO,P2-M1,luhong,5,5,0,9.8,10.76104084,9,1.8,NA,9.8
LOYO,P2-M2,bannei,4,4,0,1.5,1.870828693,1.5,1,0.9486832981,1.5
LOYO,P2-M2,hongming,3,3,0,2.666666667,3.16227766,2,2,1,2.666666667
LOYO,P2-M2,luhong,5,5,0,9.6,10.60188662,8,2,NA,9.6
rolling,P2-B0,bannei,2,2,0,4,4,4,4,1,4
rolling,P2-B0,hongming,1,1,0,10,10,10,10,NA,10
rolling,P2-B0,luhong,3,3,0,11.33333333,11.5758369,13,6,NA,11.33333333
rolling,P2-M1,bannei,2,2,0,1.5,1.58113883,1.5,0.5,1,1.5
rolling,P2-M1,hongming,1,1,0,5,5,5,5,NA,5
rolling,P2-M1,luhong,3,3,0,11.66666667,12.23383287,12,7,NA,11.66666667
rolling,P2-M2,bannei,2,2,0,1.5,1.58113883,1.5,0.5,1,1.5
rolling,P2-M2,hongming,1,1,0,5,5,5,5,NA,5
rolling,P2-M2,luhong,3,3,0,11.66666667,12.23383287,12,7,NA,11.66666667
