fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
main_P3_P3-B0_LOYO_2022,LOYO,2022,P3-B0,bannei,67,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.111111111,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2022,LOYO,2022,P3-B0,hongming,66,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.111111111,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-B0_LOYO_2022,LOYO,2022,P3-B0,luhong,79.5,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.111111111,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-M1_LOYO_2022,LOYO,2022,P3-M1,bannei,1351.2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-M1_LOYO_2022,LOYO,2022,P3-M1,hongming,1440.4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M1_LOYO_2022,LOYO,2022,P3-M1,luhong,1588.75,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2023,LOYO,2023,P3-B0,bannei,67,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",6,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2023,LOYO,2023,P3-B0,hongming,66,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",6,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
main_P3_P3-B0_LOYO_2023,LOYO,2023,P3-B0,luhong,79.5,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",6,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-M1_LOYO_2023,LOYO,2023,P3-M1,bannei,1351.2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-M1_LOYO_2023,LOYO,2023,P3-M1,hongming,1386.35,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
main_P3_P3-M1_LOYO_2023,LOYO,2023,P3-M1,luhong,1563.75,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2024,LOYO,2024,P3-B0,bannei,71,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",2.777777778,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2024,LOYO,2024,P3-B0,hongming,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",2.777777778,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
main_P3_P3-B0_LOYO_2024,LOYO,2024,P3-B0,luhong,79,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",2.777777778,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-M1_LOYO_2024,LOYO,2024,P3-M1,bannei,1381.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026,nested_training_year_cv
main_P3_P3-M1_LOYO_2024,LOYO,2024,P3-M1,hongming,1401.25,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
main_P3_P3-M1_LOYO_2024,LOYO,2024,P3-M1,luhong,1508.8,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2025,LOYO,2025,P3-B0,bannei,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.272727273,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2025,LOYO,2025,P3-B0,hongming,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.272727273,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-B0_LOYO_2025,LOYO,2025,P3-B0,luhong,79.5,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.272727273,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
