fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
R3_regional_sensitivity_P1_P1-B0_LOYO_2022,LOYO,2022,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2022,LOYO,2022,P1-B0,hongming,122,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2022,LOYO,2022,P1-B0,luhong,131,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2022,LOYO,2022,P1-D1,bannei,68,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.555555556,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2022,LOYO,2022,P1-D1,hongming,65,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.555555556,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2022,LOYO,2022,P1-D1,luhong,36.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.555555556,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_LOYO_2022,LOYO,2022,P1-D2,bannei,121.6,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",20.22222222,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_LOYO_2022,LOYO,2022,P1-D2,hongming,124.05,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",20.22222222,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_LOYO_2022,LOYO,2022,P1-D2,luhong,49.65,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",20.22222222,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2023,LOYO,2023,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2023,LOYO,2023,P1-B0,hongming,122,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2023,LOYO,2023,P1-B0,luhong,131,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2023,LOYO,2023,P1-D1,bannei,74,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",7.444444444,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
