experiment_id,task,model_id,fit_id,season_id,orchard_id,harvest_year,temperature_shift_c,flush_start_delay_days,original_start_date,reference_predicted_date,scenario_predicted_date,date_shift_days,prediction_status,parameters_refitted,interpretation
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2022,bannei_2022,bannei,2022,1,0,2022-01-20,2022-03-12,2022-03-07,-5,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2022,hongming_2022,hongming,2022,1,0,2022-01-05,2022-03-03,2022-02-24,-7,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2022,luhong_2022,luhong,2022,1,0,2022-01-03,2022-02-06,2022-02-02,-4,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2023,bannei_2023,bannei,2023,1,0,2023-01-20,2023-03-10,2023-03-05,-5,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2023,hongming_2023,hongming,2023,1,0,2023-01-15,2023-03-09,2023-03-03,-6,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2023,luhong_2023,luhong,2023,1,0,2023-01-03,2023-02-11,2023-02-08,-3,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2024,bannei_2024,bannei,2024,1,0,2024-02-01,2024-03-16,2024-03-14,-2,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2024,hongming_2024,hongming,2024,1,0,2024-01-25,2024-03-15,2024-03-13,-2,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2024,luhong_2024,luhong,2024,1,0,2024-01-16,2024-02-27,2024-02-25,-2,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2025,luhong_2025,luhong,2025,1,0,2025-01-16,2025-03-04,2025-02-28,-4,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2026,bannei_2026,bannei,2026,1,0,2026-01-10,2026-02-26,2026-02-24,-2,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2026,luhong_2026,luhong,2026,1,0,2026-01-01,2026-02-08,2026-02-06,-2,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2022,bannei_2022,bannei,2022,2,0,2022-01-20,2022-03-12,2022-03-03,-9,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2022,hongming_2022,hongming,2022,2,0,2022-01-05,2022-03-03,2022-02-16,-15,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2022,luhong_2022,luhong,2022,2,0,2022-01-03,2022-02-06,2022-01-31,-6,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2023,bannei_2023,bannei,2023,2,0,2023-01-20,2023-03-10,2023-02-28,-10,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2023,hongming_2023,hongming,2023,2,0,2023-01-15,2023-03-09,2023-02-26,-11,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2023,luhong_2023,luhong,2023,2,0,2023-01-03,2023-02-11,2023-02-05,-6,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2024,bannei_2024,bannei,2024,2,0,2024-02-01,2024-03-16,2024-03-11,-5,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2024,hongming_2024,hongming,2024,2,0,2024-01-25,2024-03-15,2024-03-10,-5,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2024,luhong_2024,luhong,2024,2,0,2024-01-16,2024-02-27,2024-02-23,-4,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2025,luhong_2025,luhong,2025,2,0,2025-01-16,2025-03-04,2025-02-24,-8,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2026,bannei_2026,bannei,2026,2,0,2026-01-10,2026-02-26,2026-02-22,-4,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
S4-P2,P2,P2-M1,main_P2_P2-M1_LOYO_2026,luhong_2026,luhong,2026,2,0,2026-01-01,2026-02-08,2026-02-04,-4,predicted,False,fixed_model_conditional_sensitivity_not_future_weather_forecast
