season_id,orchard_id,harvest_year,window_type,role,boundary_training_years,metric_training_years,induction_metric_spec,chain_trace,feature_status,prediction_context,induction_temperature_metric,induction_water_balance_mm,flowering_precipitation_hours,fruit_gdd,fruit_heat_days,flowering_radiation_mean,predicted_inflorescence_date_offset,predicted_full_bloom_date_offset,induction_start,induction_end,flowering_start,flowering_end,fruit_development_start,fruit_development_end,outer_holdout_year
bannei_2023,bannei,2023,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,53,161.11,181,1144.8,8,15.2954,19,68,2022-09-25,2023-01-20,2023-01-20,2023-03-10,2023-03-10,2023-05-22,2022
bannei_2024,bannei,2024,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,59,161.61,281,976.6,5,14.13652174,31,76,2023-09-25,2024-02-01,2024-02-01,2024-03-17,2024-03-17,2024-05-13,2022
bannei_2026,bannei,2026,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,50,285.74,57,1011.2,4,15.85717391,9,54,2025-09-25,2026-01-10,2026-01-10,2026-02-24,2026-02-24,2026-05-02,2022
hongming_2023,hongming,2023,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,63,142.77,167,1105.3,18,14.46490909,14,68,2022-09-20,2023-01-15,2023-01-15,2023-03-10,2023-03-10,2023-05-18,2022
hongming_2024,hongming,2024,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,67,101.19,136,1105.5,28,13.225,24,69,2023-09-20,2024-01-25,2024-01-25,2024-03-10,2024-03-10,2024-05-12,2022
luhong_2023,luhong,2023,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,35,233.98,111,1133.8,0,13.02931818,2,45,2022-08-28,2023-01-03,2023-01-03,2023-02-15,2023-02-15,2023-05-05,2022
luhong_2024,luhong,2024,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,39,304.89,91,1238.7,0,13.96193548,15,45,2023-09-05,2024-01-16,2024-01-16,2024-02-15,2024-02-15,2024-05-05,2022
luhong_2025,luhong,2025,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,46,332.82,29,1083.8,0,14.38903226,15,45,2024-09-05,2025-01-16,2025-01-16,2025-02-15,2025-02-15,2025-05-05,2022
luhong_2026,luhong,2026,W2-OBS,training,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,32,775.65,43,1266.7,0,16.11934783,0,45,2025-08-25,2026-01-01,2026-01-01,2026-02-15,2026-02-15,2026-05-10,2022
bannei_2022,bannei,2022,W2-OBS,evaluation,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,61,157.11,425,1021.5,0,11.7682,19,68,2021-09-25,2022-01-20,2022-01-20,2022-03-10,2022-03-10,2022-05-20,2022
hongming_2022,hongming,2022,W2-OBS,evaluation,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,59,185.1,388,997.2,8,11.03263158,4,60,2021-09-10,2022-01-05,2022-01-05,2022-03-02,2022-03-02,2022-05-10,2022
luhong_2022,luhong,2022,W2-OBS,evaluation,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,44,263.19,246,932.2,0,13.04772727,2,45,2021-08-28,2022-01-03,2022-01-03,2022-02-15,2022-02-15,2022-04-25,2022
bannei_2022,bannei,2022,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,61,157.11,425,1021.5,0,11.7682,19,68,2021-09-25,2022-01-20,2022-01-20,2022-03-10,2022-03-10,2022-05-20,2023
bannei_2024,bannei,2024,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,59,161.61,281,976.6,5,14.13652174,31,76,2023-09-25,2024-02-01,2024-02-01,2024-03-17,2024-03-17,2024-05-13,2023
bannei_2026,bannei,2026,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,50,285.74,57,1011.2,4,15.85717391,9,54,2025-09-25,2026-01-10,2026-01-10,2026-02-24,2026-02-24,2026-05-02,2023
hongming_2022,hongming,2022,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,59,185.1,388,997.2,8,11.03263158,4,60,2021-09-10,2022-01-05,2022-01-05,2022-03-02,2022-03-02,2022-05-10,2023
hongming_2024,hongming,2024,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,67,101.19,136,1105.5,28,13.225,24,69,2023-09-20,2024-01-25,2024-01-25,2024-03-10,2024-03-10,2024-05-12,2023
luhong_2022,luhong,2022,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,44,263.19,246,932.2,0,13.04772727,2,45,2021-08-28,2022-01-03,2022-01-03,2022-02-15,2022-02-15,2022-04-25,2023
luhong_2024,luhong,2024,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,39,304.89,91,1238.7,0,13.96193548,15,45,2023-09-05,2024-01-16,2024-01-16,2024-02-15,2024-02-15,2024-05-05,2023
luhong_2025,luhong,2025,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,46,332.82,29,1083.8,0,14.38903226,15,45,2024-09-05,2025-01-16,2025-01-16,2025-02-15,2025-02-15,2025-05-05,2023
luhong_2026,luhong,2026,W2-OBS,training,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,32,775.65,43,1266.7,0,16.11934783,0,45,2025-08-25,2026-01-01,2026-01-01,2026-02-15,2026-02-15,2026-05-10,2023
bannei_2023,bannei,2023,W2-OBS,evaluation,2022;2024;2025;2026,2022;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",[],complete,realized_weather_conditional; W2_has_observed_future_boundaries,53,161.11,181,1144.8,8,15.2954,19,68,2022-09-25,2023-01-20,2023-01-20,2023-03-10,2023-03-10,2023-05-22,2023
