season_id,orchard_id,harvest_year,window_type,role,boundary_training_years,metric_training_years,induction_metric_spec,chain_trace,feature_status,prediction_context,induction_temperature_metric,induction_water_balance_mm,flowering_precipitation_hours,fruit_gdd,fruit_heat_days,flowering_radiation_mean,predicted_inflorescence_date_offset,predicted_full_bloom_date_offset,induction_start,induction_end,flowering_start,flowering_end,fruit_development_start,fruit_development_end,outer_holdout_year
bannei_2023,bannei,2023,W3-PRED,training,2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P1-B0""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 118.0, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}, {""model_id"": ""P2-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P2-B0""}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 45.0, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1119.9000000000005, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,54,158.85,181,995.3,2,14.89021739,20,65,2022-09-25,2023-01-21,2023-01-21,2023-03-07,2023-03-07,2023-05-12,2022
bannei_2024,bannei,2024,W3-PRED,training,2023;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P1-B0""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 112.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 240.150000000001, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}, {""model_id"": ""P3-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P3-B0""}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 70.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,42,177.94,245,1087.7,5,12.98363636,14,57,2023-09-25,2024-01-15,2024-01-15,2024-02-27,2024-02-27,2024-05-07,2022
bannei_2026,bannei,2026,W3-PRED,training,2023;2024;2025,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-D1"", ""spec"": {""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 56.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025""], ""training_years"": [2023, 2024, 2025]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 744.650000000006, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025""], ""training_years"": [2023, 2024, 2025]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1192.700000000009, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025""], ""training_years"": [2023, 2024, 2025]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,56,267.09,89,1057.6,4,15.75638298,15,61,2025-09-25,2026-01-16,2026-01-16,2026-03-03,2026-03-03,2026-05-11,2022
hongming_2023,hongming,2023,W3-PRED,training,2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P1-B0""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 127.0, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}, {""model_id"": ""P2-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P2-B0""}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 45.0, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1233.5000000000018, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,73,128.6,123,1114.4,19,15.70173913,24,69,2022-09-20,2023-01-25,2023-01-25,2023-03-11,2023-03-11,2023-05-19,2022
hongming_2024,hongming,2024,W3-PRED,training,2023;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P1-B0""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 117.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 272.90000000000146, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}, {""model_id"": ""P3-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P3-B0""}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 69.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,57,118.28,143,1184.7,29,13.072,14,63,2023-09-20,2024-01-15,2024-01-15,2024-03-04,2024-03-04,2024-05-12,2022
luhong_2023,luhong,2023,W3-PRED,training,2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P1-B0""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 133.0, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}, {""model_id"": ""P2-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P2-B0""}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 30.0, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1400.7000000000007, ""training_season_ids"": [""bannei_2024"", ""bannei_2026"", ""hongming_2024"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2024, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,40,225.32,78,1227.3,0,13.13903226,7,37,2022-08-28,2023-01-08,2023-01-08,2023-02-07,2023-02-07,2023-05-04,2022
luhong_2024,luhong,2024,W3-PRED,training,2023;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P1-B0""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 129.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 260.90000000000055, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}, {""model_id"": ""P3-B0"", ""spec"": {""kind"": ""duration"", ""model_id"": ""P3-B0""}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 79.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2026"", ""hongming_2023"", ""luhong_2023"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,35,313.56,127,1246.5,0,14.3395,11,50,2023-09-05,2024-01-12,2024-01-12,2024-02-20,2024-02-20,2024-05-09,2022
luhong_2025,luhong,2025,W3-PRED,training,2023;2024;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-D1"", ""spec"": {""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 35.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""bannei_2026"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2026""], ""training_years"": [2023, 2024, 2026]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 392.90000000000055, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""bannei_2026"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2026""], ""training_years"": [2023, 2024, 2026]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1400.7000000000007, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""bannei_2026"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2026""], ""training_years"": [2023, 2024, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,35,364.72,84,1241.2,0,14.3912,4,53,2024-09-05,2025-01-05,2025-01-05,2025-02-23,2025-02-23,2025-05-19,2022
luhong_2026,luhong,2026,W3-PRED,training,2023;2024;2025,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-D1"", ""spec"": {""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 39.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025""], ""training_years"": [2023, 2024, 2025]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 501.49999999999636, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025""], ""training_years"": [2023, 2024, 2025]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1293.800000000001, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025""], ""training_years"": [2023, 2024, 2025]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,39,751.12,33,1152.4,0,16.1469697,7,39,2025-08-25,2026-01-08,2026-01-08,2026-02-09,2026-02-09,2026-04-29,2022
bannei_2022,bannei,2022,W3-PRED,evaluation,2023;2024;2025;2026,2023;2024;2025;2026,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}","[{""model_id"": ""P1-D1"", ""spec"": {""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}, ""status"": ""predicted"", ""task"": ""P1"", ""threshold"": 53.0, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""bannei_2026"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2024, 2025, 2026]}, {""model_id"": ""P2-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}, ""status"": ""predicted"", ""task"": ""P2"", ""threshold"": 387.1999999999998, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""bannei_2026"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2024, 2025, 2026]}, {""model_id"": ""P3-M1"", ""spec"": {""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}, ""status"": ""predicted"", ""task"": ""P3"", ""threshold"": 1351.2000000000335, ""training_season_ids"": [""bannei_2023"", ""bannei_2024"", ""bannei_2026"", ""hongming_2023"", ""hongming_2024"", ""luhong_2023"", ""luhong_2024"", ""luhong_2025"", ""luhong_2026""], ""training_years"": [2023, 2024, 2025, 2026]}]",complete,realized_weather_conditional; W2_has_observed_future_boundaries,53,170.4,466,1004.4,0,11.0609434,11,63,2021-09-25,2022-01-12,2022-01-12,2022-03-05,2022-03-05,2022-05-15,2022
