season_id,window_type,boundary,window_date,observed_date,boundary_error_days
bannei_2022,W1-CALENDAR,induction_start,2021-09-01,2021-09-25,-24
bannei_2022,W1-CALENDAR,induction_end,2022-01-31,2022-01-20,11
bannei_2022,W1-CALENDAR,flowering_start,2022-01-01,2022-01-20,-19
bannei_2022,W1-CALENDAR,flowering_end,2022-03-31,2022-03-10,21
bannei_2022,W1-CALENDAR,fruit_development_start,2022-03-01,2022-03-10,-9
bannei_2022,W1-CALENDAR,fruit_development_end,2022-05-31,2022-05-20,11
hongming_2022,W1-CALENDAR,induction_start,2021-09-01,2021-09-10,-9
hongming_2022,W1-CALENDAR,induction_end,2022-01-31,2022-01-05,26
hongming_2022,W1-CALENDAR,flowering_start,2022-01-01,2022-01-05,-4
hongming_2022,W1-CALENDAR,flowering_end,2022-03-31,2022-03-02,29
hongming_2022,W1-CALENDAR,fruit_development_start,2022-03-01,2022-03-02,-1
hongming_2022,W1-CALENDAR,fruit_development_end,2022-05-31,2022-05-10,21
luhong_2022,W1-CALENDAR,induction_start,2021-09-01,2021-08-28,4
luhong_2022,W1-CALENDAR,induction_end,2022-01-31,2022-01-03,28
luhong_2022,W1-CALENDAR,flowering_start,2022-01-01,2022-01-03,-2
luhong_2022,W1-CALENDAR,flowering_end,2022-03-31,2022-02-15,44
luhong_2022,W1-CALENDAR,fruit_development_start,2022-03-01,2022-02-15,14
luhong_2022,W1-CALENDAR,fruit_development_end,2022-05-31,2022-04-25,36
bannei_2022,W1-MEDIAN,induction_start,2021-09-25,2021-09-25,0
bannei_2022,W1-MEDIAN,induction_end,2022-01-20,2022-01-20,0
bannei_2022,W1-MEDIAN,flowering_start,2022-01-20,2022-01-20,0
bannei_2022,W1-MEDIAN,flowering_end,2022-03-10,2022-03-10,0
bannei_2022,W1-MEDIAN,fruit_development_start,2022-03-10,2022-03-10,0
bannei_2022,W1-MEDIAN,fruit_development_end,2022-05-14,2022-05-20,-6
hongming_2022,W1-MEDIAN,induction_start,2021-09-20,2021-09-10,10
hongming_2022,W1-MEDIAN,induction_end,2022-01-20,2022-01-05,15
hongming_2022,W1-MEDIAN,flowering_start,2022-01-20,2022-01-05,15
