context,model_id,alpha,inner_MAE_kg_mu,training_years
MAIN_LOYO_outer_2022,Y-W1C,0.1,363.5062852,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1C,1,371.7019928,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1C,10,397.4856442,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1C,100,379.7097781,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1C,1000,394.0532727,2023;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1C,0.1,1131.228567,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1C,1,732.0280898,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1C,10,584.6013996,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1C,100,518.1270711,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1C,1000,492.8780999,2022;2024;2025;2026
MAIN_LOYO_outer_2024,Y-W1C,0.1,1117.192071,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1C,1,516.8655367,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1C,10,383.428003,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1C,100,336.857827,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1C,1000,328.3114398,2022;2023;2025;2026
MAIN_LOYO_outer_2025,Y-W1C,0.1,747.2911137,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1C,1,485.1104392,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1C,10,489.5716457,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1C,100,472.5804248,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1C,1000,471.1844912,2022;2023;2024;2026
MAIN_LOYO_outer_2026,Y-W1C,0.1,1239.446748,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W1C,1,686.703717,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W1C,10,508.4190576,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W1C,100,489.387347,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W1C,1000,502.8629494,2022;2023;2024;2025
MAIN_LOYO_outer_2022,Y-W1M,0.1,249.1940127,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1M,1,192.4111924,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1M,10,245.0541895,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1M,100,364.4069455,2023;2024;2025;2026
MAIN_LOYO_outer_2022,Y-W1M,1000,392.4671315,2023;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1M,0.1,1258.854439,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1M,1,936.8855523,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1M,10,662.8298436,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1M,100,528.8724748,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W1M,1000,494.0391238,2022;2024;2025;2026
MAIN_LOYO_outer_2024,Y-W1M,0.1,1072.044165,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1M,1,554.3776553,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1M,10,378.7990911,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1M,100,332.3485188,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W1M,1000,327.7304203,2022;2023;2025;2026
MAIN_LOYO_outer_2025,Y-W1M,0.1,771.5247193,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1M,1,535.9737541,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1M,10,448.7271267,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1M,100,467.7359023,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W1M,1000,471.357041,2022;2023;2024;2026
MAIN_LOYO_outer_2026,Y-W1M,0.1,1609.774898,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W1M,1,780.0501832,2022;2023;2024;2025
