cohort,validation,model_id,holdout_year,n_predictions,MAE_kg_mu,RMSE_kg_mu,median_AE_kg_mu,mean_bias_kg_mu,Spearman_r,normalized_MAE,negative_predictions
MAIN,LOYO,Y-B0,2022,3,755.02,879.0818873,574.8,-544.2,-1,0.5049130191,0
MAIN,LOYO,Y-B0,2023,3,408.1666667,439.4069252,422.33,8.166666667,0.5,0.3915705994,0
MAIN,LOYO,Y-B0,2024,3,645.81,763.7872405,587.49,645.81,-0.5,1.045180398,0
MAIN,LOYO,Y-B0,2025,1,89.04,89.04,89.04,-89.04,NA,0.07383819286,0
MAIN,LOYO,Y-B0,2026,2,202.635,232.3031796,202.635,-202.635,-1,0.1613265343,0
MAIN,LOYO,Y-W1C,2022,3,624.1113053,705.8337789,408.9366939,-375.1096982,-1,0.4173689748,0
MAIN,LOYO,Y-W1C,2023,3,388.424394,392.9069926,359.9700676,74.54723333,1,0.3726310481,0
MAIN,LOYO,Y-W1C,2024,3,639.1949281,744.6811726,539.708932,639.1949281,0.5,1.03447455,0
MAIN,LOYO,Y-W1C,2025,1,115.0200509,115.0200509,115.0200509,-115.0200509,NA,0.09538266731,0
MAIN,LOYO,Y-W1C,2026,2,259.9187439,265.7612531,259.9187439,-259.9187439,-1,0.2069326135,0
MAIN,LOYO,Y-W1M,2022,3,758.7797983,909.7283846,876.4051663,-758.7797983,-1,0.5074273513,0
MAIN,LOYO,Y-W1M,2023,3,388.6888376,393.2521898,360.4184189,74.17815544,1,0.3728847394,0
MAIN,LOYO,Y-W1M,2024,3,639.6393545,745.6734185,540.286947,639.6393545,-0.5,1.035193811,0
MAIN,LOYO,Y-W1M,2025,1,26.15482404,26.15482404,26.15482404,-26.15482404,NA,0.0216894086,0
MAIN,LOYO,Y-W1M,2026,2,132.3114406,134.0278188,132.3114406,-21.38080688,-1,0.1053388909,0
MAIN,LOYO,Y-W2O,2022,3,873.4517486,965.8005583,852.7010675,-873.4517486,-0.5,0.5841132147,0
MAIN,LOYO,Y-W2O,2023,3,389.765336,394.6017806,355.5055414,72.26563239,0.5,0.3739174673,0
MAIN,LOYO,Y-W2O,2024,3,640.4111108,746.0887704,542.4321229,640.4111108,-0.5,1.036442823,0
MAIN,LOYO,Y-W2O,2025,1,114.9758565,114.9758565,114.9758565,-114.9758565,NA,0.09534601822,0
MAIN,LOYO,Y-W2O,2026,2,181.5726715,190.1545614,181.5726715,-181.5726715,-1,0.1445578988,0
MAIN,LOYO,Y-W3P,2023,3,389.4795895,394.2220742,357.7426103,72.96524915,0.5,0.3736433393,0
MAIN,LOYO,Y-W3P,2024,3,640.6019015,746.0334228,541.1717865,640.6019015,0.5,1.036751599,0
MAIN,LOYO,Y-W3P,2026,2,180.1139201,188.3977245,180.1139201,-180.1139201,-1,0.1433965234,0
MAIN,LOYO,Y-W3P+PHENO,2023,3,392.1925789,396.7641932,359.4056466,74.56683236,0.5,0.3762460185,0
MAIN,LOYO,Y-W3P+PHENO,2024,3,639.8854823,745.211075,539.6599544,639.8854823,0.5,1.035592145,0
MAIN,LOYO,Y-W3P+PHENO,2026,2,186.5224269,193.4649169,186.5224269,-186.5224269,-1,0.1484986142,0
MAIN,rolling,Y-B0,2024,3,650.9716667,762.366445,571.26,650.9716667,-0.5,1.053534051,0
MAIN,rolling,Y-B0,2025,1,178.08,178.08,178.08,-178.08,NA,0.1476763857,0
MAIN,rolling,Y-B0,2026,2,202.635,232.3031796,202.635,-202.635,-1,0.1613265343,0
MAIN,rolling,Y-W1C,2024,3,650.9393449,754.3171413,551.323321,650.9393449,0.5,1.053481742,0
MAIN,rolling,Y-W1C,2025,1,184.7090627,184.7090627,184.7090627,-184.7090627,NA,0.1531736679,0
MAIN,rolling,Y-W1C,2026,2,259.9187439,265.7612531,259.9187439,-259.9187439,-1,0.2069326135,0
MAIN,rolling,Y-W1M,2024,3,649.8450204,753.4954386,548.9773404,649.8450204,1,1.051710684,0
MAIN,rolling,Y-W1M,2025,1,151.3004757,151.3004757,151.3004757,-151.3004757,NA,0.125468932,0
MAIN,rolling,Y-W1M,2026,2,132.3114406,134.0278188,132.3114406,-21.38080688,-1,0.1053388909,0
