cohort,validation,model_id,status,n_predictions,MAE_kg_mu,RMSE_kg_mu,median_AE_kg_mu,mean_bias_kg_mu,Spearman_r,normalized_MAE,negative_predictions,baseline_MAE_same_seasons_kg_mu,delta_MAE_same_seasons_kg_mu
MAIN,LOYO,Y-B0,complete,12,493.4416667,630.0503111,369.28,-13.74833333,-0.6454265945,0.4490984356,0,493.4416667,0
MAIN,LOYO,Y-W1C,complete,12,465.8374517,560.9418813,366.7362391,31.75332091,-0.3677763959,0.4239748788,0,493.4416667,-27.60421494
MAIN,LOYO,Y-W1M,complete,12,471.008473,622.5924686,347.1502448,-16.98360857,-0.4693527338,0.4286812053,0,493.4416667,-22.43319363
MAIN,LOYO,Y-W2O,complete,12,515.7504821,646.8465926,367.4480571,-80.03718463,-0.7110343654,0.4694024651,0,493.4416667,22.30881546
MAIN,LOYO,Y-W3P,partial_not_matched_main,8,431.3090391,525.2283004,346.833629,222.5592014,-0.5952380952,0.4604964558,0,445.9,-14.59096085
MAIN,LOYO,Y-W3P+PHENO,partial_not_matched_main,8,433.6598797,525.9683286,350.0695585,221.2890113,-0.5952380952,0.4630063817,0,445.9,-12.2401203
MAIN,rolling,Y-B0,complete,6,422.7108333,560.2454537,263.0125,228.2608333,-0.927633657,0.4552073256,0,422.7108333,0
MAIN,rolling,Y-W1C,complete,6,442.8940975,560.1128717,278.6598135,208.0452474,-0.8116794499,0.4769422067,0,422.7108333,20.18326417
MAIN,rolling,Y-W1M,complete,6,394.2430697,541.9232532,197.5544523,292.5788286,-0.2319084143,0.4245510624,0,422.7108333,-28.46776365
MAIN,rolling,Y-W2O,complete,6,410.0941807,546.9110094,238.5465107,238.931069,-0.7247137946,0.44162075,0,422.7108333,-12.6166526
MAIN,rolling,Y-W3P,partial_not_matched_main,3,171.9034511,178.1031695,155.482513,-171.9034511,0,0.1387067618,0,194.45,-22.54654891
MAIN,rolling,Y-W3P+PHENO,partial_not_matched_main,3,186.6512268,191.3045195,186.9088266,-186.6512268,0,0.150606559,0,194.45,-7.79877319
SENS-HM25,LOYO,Y-B0,complete,13,444.6830769,547.5526211,316.23,-67.13692308,-0.08357064723,0.4239735974,0,444.6830769,0
SENS-HM25,LOYO,Y-W1C,complete,13,516.3599887,657.6879064,461.3488366,-73.95032752,-0.4429165125,0.4923124205,0,444.6830769,71.6769118
SENS-HM25,LOYO,Y-W1M,complete,13,478.647797,611.2609483,293.1776534,-54.75648019,-0.448418581,0.4563565355,0,444.6830769,33.96472009
SENS-HM25,LOYO,Y-W2O,complete,13,508.3025204,635.9490882,449.3375373,-93.50176293,-0.5337006424,0.4846301991,0,444.6830769,63.61944346
SENS-HM25,LOYO,Y-W3P,partial_not_matched_main,8,401.0057956,478.7019616,294.1340572,145.1988403,-0.3571428571,0.4281425402,0,392.88625,8.11954562
SENS-HM25,LOYO,Y-W3P+PHENO,partial_not_matched_main,8,409.2081105,495.1346933,339.5069806,24.96753677,-0.2142857143,0.4368999197,0,392.88625,16.32186054
SENS-HM25-26,LOYO,Y-B0,complete,14,401.8428571,497.4186945,316.23,-51.74285714,0,0.3910811421,0,401.8428571,0
SENS-HM25-26,LOYO,Y-W1C,complete,14,455.7906618,528.7027537,475.4916718,-55.21959195,-0.2464247916,0.4435841758,0,401.8428571,53.94780469
SENS-HM25-26,LOYO,Y-W1M,complete,14,452.0625162,582.081939,278.4493705,-48.31329798,-0.3124314322,0.4399558734,0,401.8428571,50.21965908
SENS-HM25-26,LOYO,Y-W2O,blocked,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SENS-HM25-26,LOYO,Y-W3P,blocked,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SENS-HM25-26,LOYO,Y-W3P+PHENO,blocked,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SENS-HM26,LOYO,Y-B0,complete,13,375.4269231,479.6343899,316.23,-44.05153846,-0.1337130356,0.3502340491,0,375.4269231,0
SENS-HM26,LOYO,Y-W1C,complete,13,388.5886944,480.9171431,315.3379667,-21.8611327,-0.1760661913,0.362512605,0,375.4269231,13.1617713
SENS-HM26,LOYO,Y-W1M,complete,13,438.756935,584.686753,297.9631284,-14.25268727,-0.390646862,0.4093143259,0,375.4269231,63.33001197
SENS-HM26,LOYO,Y-W2O,blocked,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SENS-HM26,LOYO,Y-W3P,blocked,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SENS-HM26,LOYO,Y-W3P+PHENO,blocked,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
