cohort,validation,model_id,orchard_id,n_predictions,MAE_kg_mu,RMSE_kg_mu,median_AE_kg_mu,mean_bias_kg_mu,Spearman_r,normalized_MAE,negative_predictions
MAIN,LOYO,Y-B0,bannei,4,454.9875,475.6961546,451.86,-3.1275,-0.894427191,0.3952143011,0
MAIN,LOYO,Y-B0,hongming,3,916.02,1049.140443,1171.86,-7.579122515e-14,-1,1.031112812,0
MAIN,LOYO,Y-B0,luhong,5,270.658,333.5645061,178.08,-30.494,-0.8885233166,0.2287991885,0
MAIN,LOYO,Y-W1C,bannei,4,424.8412626,433.5594761,422.1590758,31.76440874,-0.6,0.3690284736,0
MAIN,LOYO,Y-W1C,hongming,3,866.2483039,937.6165668,1089.894811,139.651763,-1,0.9750875795,0
MAIN,LOYO,Y-W1C,luhong,5,258.3878917,278.0646594,228.9958194,-32.9946146,0.1538967528,0.2184267228,0
MAIN,LOYO,Y-W1M,bannei,4,314.8918596,369.7624514,312.7291353,-44.74838614,-0.4,0.2735234841,0
MAIN,LOYO,Y-W1M,hongming,3,939.0973023,1026.333604,1150.76148,68.35596385,-1,1.057089649,0
MAIN,LOYO,Y-W1M,luhong,5,315.0484662,434.6211003,227.8696362,-45.97552996,-0.2051956704,0.2663244145,0
MAIN,LOYO,Y-W2O,bannei,4,409.0315223,424.7508339,427.8200641,-137.8154609,-0.2,0.3552957108,0
MAIN,LOYO,Y-W2O,hongming,3,964.7457297,1061.011584,1150.468043,39.23665953,-1,1.085960658,0
MAIN,LOYO,Y-W2O,luhong,5,331.7285014,429.4266746,228.333167,-105.3788701,-0.8720815993,0.2804247867,0
MAIN,LOYO,Y-W3P,bannei,3,417.1027552,437.2914963,474.7715105,-56.32156421,-0.5,0.3461462379,0
MAIN,LOYO,Y-W3P,hongming,2,754.1807389,852.0280375,754.1807389,754.1807389,-1,1.752400815,0
MAIN,LOYO,Y-W3P,luhong,3,230.2675233,245.8610916,230.0150505,147.0256088,-0.5,0.2289525723,0
MAIN,LOYO,Y-W3P+PHENO,bannei,3,417.9943443,437.7273278,476.4386198,-58.22104138,-0.5,0.346886152,0
MAIN,LOYO,Y-W3P+PHENO,hongming,2,754.5362924,851.7354306,754.5362924,754.5362924,-1,1.753226973,0
MAIN,LOYO,Y-W3P+PHENO,luhong,3,235.4078066,249.9462168,230.3295544,145.3008766,-0.5,0.2340635019,0
MAIN,rolling,Y-B0,bannei,2,443.745,461.7030434,443.745,127.515,-1,0.4382731596,0
MAIN,rolling,Y-B0,hongming,1,1171.86,1171.86,1171.86,1171.86,NA,10.93765167,0
MAIN,rolling,Y-B0,luhong,3,158.9716667,166.9875744,178.08,-19.10833333,-0.8660254038,0.1386558164,0
MAIN,rolling,Y-W1C,bannei,2,433.3306439,449.1076917,433.3306439,117.9926772,-1,0.4279872234,0
MAIN,rolling,Y-W1C,hongming,1,1159.513053,1159.513053,1159.513053,1159.513053,NA,10.82241043,0
MAIN,rolling,Y-W1C,luhong,3,210.396748,211.7330205,204.4995211,-49.07564115,-0.8660254038,0.1835090081,0
MAIN,rolling,Y-W1M,bannei,2,351.3347939,403.1112918,351.3347939,197.6425464,-1,0.3470024681,0
